artist,tote,group,genre_fake,year,id,genre
The Beatles,46,high,rap,2008,1,Classic Rock
Fugazi,43,high,rap,2008,2,Punk
The Rolling Stones,40,high,rap,2008,3,Classic Rock
David Bowie,39,high,rap,2008,4,Classic Rock
Black Sabbath,36,high,rap,2008,5,Classic Rock
Sol,35,high,rap,2008,6,Electronic
Jimi Hendrix,33,high,rap,2008,7,Classic Rock
Devo,30,high,rap,2008,8,Punk
CKY,29,high,rap,2008,9,Other
Gang Starr,28,high,rap,2008,10,Hip Hop
The Black Keys,28,high,rap,2008,11,Classic Rock
The Doors,28,high,rap,2008,12,Classic Rock
Odd Nosdam,26,high,rap,2008,13,Other
Pink Floyd,26,high,rap,2008,14,Classic Rock
AC/DC,24,medium,rock,2009,15,Classic Rock
Joy Division,24,medium,rock,2009,16,Punk
The Kinks,24,medium,rock,2009,17,Classic Rock
Iron Maiden,22,medium,rock,2009,18,Classic Rock
Sonic Youth,22,medium,rock,2009,19,Classic Rock
Led Zeppelin,21,medium,rock,2009,20,Classic Rock
Metallica,21,medium,rock,2009,21,Metal
Slayer,21,medium,rock,2009,22,Metal
Tommy Guerrero,21,medium,rock,2009,23,Other
Baron,20,medium,rock,2009,24,Other
Arcade Fire,19,medium,rock,2009,25,Indie
Bad Religion,19,medium,rock,2009,26,Punk
DJ Krush,19,medium,rock,2009,27,Other
Mobb Deep,19,medium,rock,2009,28,Hip Hop
Bad Brains,18,medium,rock,2009,29,Punk
Bad Shit,18,medium,rock,2009,30,Other
Beastie Boys,18,medium,rock,2009,31,Hip Hop
Creedence Clearwater Revival,18,medium,rock,2009,32,Classic Rock
Curtis Mayfield,18,medium,rock,2009,33,Other
Mr. E,18,medium,rock,2009,34,Other
Nina Simone,18,medium,rock,2009,35,Other
Dinosaur Jr.,17,medium,rock,2009,36,Punk
Minor Threat,17,medium,rock,2009,37,Punk
Nas,16,medium,rock,2009,38,Hip Hop
Public Enemy,16,medium,rock,2009,39,Hip Hop
?,15,medium,rock,2009,40,Other
Andre Nickatina,15,medium,rock,2009,41,Other
Bob Dylan,15,medium,rock,2009,42,Classic Rock
Misfits,15,medium,rock,2009,43,Punk
New Order,15,medium,rock,2009,44,Indie
Spoon,15,medium,rock,2009,45,Indie
Vast,15,medium,rock,2009,46,Other
Electric Light Orchestra,14,medium,rock,2009,47,Classic Rock
M83,14,medium,rock,2009,48,Electronic
Modest Mouse,14,medium,rock,2009,49,Indie
Notorious B.I.G.,14,medium,rock,2009,50,Hip Hop
Radiohead,14,medium,rock,2009,51,Indie
Ramones,14,medium,rock,2009,52,Classic Rock
The Animals,14,medium,rock,2009,53,Classic Rock
DJ Shadow,13,medium,rock,2009,54,Hip Hop
Enoch,13,medium,rock,2009,55,Other
Iggy Pop,13,medium,rock,2009,56,Classic Rock
Jon Kennedy,13,medium,rock,2009,57,Other
Motorhead,13,medium,rock,2009,58,Classic Rock
Mr. Dibbs,13,medium,rock,2009,59,Other
Pixies,13,medium,rock,2009,60,Classic Rock
RJD2,13,medium,rock,2009,61,Hip Hop
The Brian Jonestown Massacre,13,medium,rock,2009,62,Classic Rock
The Cure,13,medium,rock,2009,63,Other
Yeah Yeah Yeahs,13,medium,rock,2009,64,Indie
Atiba,12,medium,rock,2009,65,Other
Blondie,12,medium,rock,2009,66,Classic Rock
Guru,12,medium,rock,2009,67,Other
Judas Priest,12,medium,rock,2009,68,Classic Rock
Marvin Gaye,12,medium,rock,2009,69,Other
Ozzy Osbourne,12,medium,rock,2009,70,Classic Rock
Ray Barbee,12,medium,rock,2009,71,Other
Stevie Wonder,12,medium,rock,2009,72,Other
The Budos Band,12,medium,rock,2009,73,Other
The Shins,12,medium,rock,2009,74,Indie
Trans Am,12,medium,rock,2009,75,Other
Van Morrison,12,medium,rock,2009,76,Classic Rock
Wolfmother,12,medium,rock,2009,77,Classic Rock
Adeodat Warfield,11,medium,rock,2009,78,Other
Beck,11,medium,rock,2009,79,Indie
Belle & Sebastian,11,medium,rock,2009,80,Other
Big L,11,medium,rock,2009,81,Hip Hop
Bob Marley,11,medium,rock,2009,82,Other
Bonobo,11,medium,rock,2009,83,Electronic
De La Soul,11,medium,rock,2009,84,Hip Hop
Janis Joplin,11,medium,rock,2009,85,Classic Rock
John Maus,11,medium,rock,2009,86,Electronic
SRKP,11,medium,rock,2009,87,Other
The Pharcyde,11,medium,rock,2009,88,Hip Hop
TV On The Radio,11,medium,rock,2009,89,Indie
Al Green,10,medium,rock,2009,90,Other
Black Flag,10,medium,rock,2009,91,Punk
Brian Jonestown Massacre,10,medium,rock,2009,92,Classic Rock
Butthole Surfers,10,medium,rock,2009,93,Punk
Cymande,10,medium,rock,2009,94,Other
Donovan,10,medium,rock,2009,95,Classic Rock
Dr. Dog,10,medium,rock,2009,96,Indie
Euphone,10,medium,rock,2009,97,Other
James Brown,10,medium,rock,2009,98,Classic Rock
