,index,location,points,price,country,polarity
0,0,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",87,14.0,Italy,-0.2
1,1,"Cavallotto winery ,Barolo, Piedmont, Italy",97,150.0,Italy,3.96508223080413e-18
2,2,"Louis Latour winery ,Montrachet, Burgundy, France",96,630.0,France,0.26642857142857146
3,3,"Louis Latour winery ,Criots-Bâtard-Montrachet, Burgundy, France",95,380.0,France,0.2833333333333333
4,4,"Marchesi Antinori winery ,Bolgheri Superiore, Tuscany, Italy",98,102.0,Italy,0.25
297,297,"DAOU winery ,Adelaida District, California, US",95,100.0,US,0.16666666666666669
298,298,"Venge winery ,Calistoga, California, US",95,95.0,US,0.3678571428571429
299,299,"Kendall-Jackson winery ,Knights Valley, California, US",94,70.0,US,0.36071428571428577
300,300,"Dal Forno Romano winery ,Amarone della Valpolicella, Veneto, Italy",95,500.0,Italy,0.08411255411255408
301,301,"Quilceda Creek winery ,Red Mountain, Washington, US",95,95.0,US,0.06666666666666668
302,302,"Dal Forno Romano winery ,Amarone della Valpolicella, Veneto, Italy",95,530.0,Italy,0.11136363636363635
303,303,"Domaine Perrot-Minot winery ,Charmes-Chambertin, Burgundy, France",95,,France,0.06666666666666668
304,304,"Domaine Faiveley winery ,Mazis-Chambertin, Burgundy, France",95,290.0,France,0.135
305,305,"Domaine Vincent Girardin winery ,Chevalier-Montrachet, Burgundy, France",95,398.0,France,0.4065476190476191
306,306,"Chanson Père et Fils winery ,Chambertin Clos de Bèze, Burgundy, France",94,248.0,France,-0.09166666666666666
307,307,"Louis Latour winery ,Montrachet, Burgundy, France",94,430.0,France,0.2696428571428572
308,308,"Tamarack Cellars winery ,Walla Walla Valley (WA), Washington, US",95,50.0,US,0.14166666666666666
309,309,"Wayfarer winery ,Fort Ross-Seaview, California, US",95,115.0,US,0.0642857142857143
310,310,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",95,235.0,Italy,0.2972222222222222
311,311,"Manzone winery ,Barolo, Piedmont, Italy",95,48.0,Italy,-0.10476190476190476
312,312,"Metzker Family Estates winery ,Russian River Valley, California, US",95,65.0,US,0.09090909090909091
313,313,"Gary Farrell winery ,Sonoma Valley, California, US",94,60.0,US,-0.059999999999999984
314,314,"Domaine Leflaive winery ,Bâtard-Montrachet, Burgundy, France",99,560.0,France,0.33809523809523817
