variety,Chile,France,Italy,Portugal,Spain,US
Alicante Bouschet,,,,0.35652786302477685,0.12048192771084337,0.3122236146377496
Bordeaux-style Red Blend,0.5692874341013985,0.4498826339263897,0.6302746566791511,0.4437617061501756,0.5095514917683508,0.6402018054031947
Cabernet,,0.15294117647058825,0.1550620373541266,,,0.21348314606741572
Cabernet Blend,0.5575181329646195,0.15476190476190477,0.5305932892139789,0.1511627906976744,1.0058263292596126,0.6521217155837871
Cabernet Franc,0.273081024422266,0.2784883079260982,0.9308958244386885,,0.32558139534883723,0.3906935066487318
Cabernet Sauvignon,0.22742481917144958,0.20620245828461461,0.4875747549989186,0.2180017693118649,0.357085193701101,0.6069921522373105
Cabernet Sauvignon-Cabernet Franc,0.3126327074471704,,,,0.33707865168539325,0.6142189118694724
Cabernet Sauvignon-Merlot,0.21260640783270168,0.11372549019607843,0.6732702542874038,,0.18528552061052533,0.419949464160577
Cabernet Sauvignon-Shiraz,,,0.11627906976744186,,0.4444444444444444,0.10843373493975904
Cabernet Sauvignon-Syrah,0.20859732718804005,0.1534090909090909,,0.24444444444444444,0.3384935497295048,0.49317612229727503
Carignan,0.27677621863895113,0.23369480010452054,,,1.8271415345771467,0.3718740707383936
Carignan-Grenache,,0.18888888888888888,,,0.35913600573684196,0.3105847803881512
Carmenère,0.23160840881616548,,0.4444444444444444,,,0.38562709759142005
Champagne Blend,0.18021191519892207,0.8432720038646941,0.2886403557219966,,0.12831577161985447,0.3785854038259459
Chardonnay,0.17827859236567287,0.6261204590419119,0.35718249654577167,0.20012848558443588,0.23113559328275146,0.34294780007378783
Chardonnay-Viognier,0.1439918832685864,0.17470451202477588,,0.23255813953488372,,0.2666216450106965
Chenin Blanc,,0.30774596761035555,,0.21774521774521774,,0.22670775445448302
Cinsault,0.30066491680517027,0.1660979815609751,,,,0.3098349753547424
Gewürztraminer,0.17026523343417627,0.3791635981443978,0.35121306791057155,0.23529411764705882,,0.21751900249336065
Gewürztraminer-Riesling,0.125,,,0.34146341463414637,,0.3334165834165834
Grenache,,0.32260709604972687,2.5555555555555554,,0.17728074129314247,0.3935080812765619
Grenache Blanc,,0.38799283154121866,,,0.3052724578203374,0.27994507425642057
Grenache-Carignan,,0.22371378621378624,,,0.3323656263019398,0.2911610129001433
Grenache-Syrah,,0.20877139315245818,,,0.149571180846241,0.45334687452036393
Malbec,0.2173123182226485,0.3681572287527226,0.33707865168539325,,,0.39844982484695673
Malvasia,,,0.31237135796170473,0.3409090909090909,0.21689425770308124,0.32941176470588235
Merlot,0.1511880229102641,0.28008583259804987,1.0030459633717004,0.2219964064880574,0.20286170551657134,0.3264184163308859
Merlot-Cabernet,0.1744186046511628,0.13636363636363635,0.22093023255813954,,,0.26476782077561517
Merlot-Cabernet Sauvignon,,0.1467658655425886,,,0.1921667081208805,0.5918132291524002
Mondeuse,,0.24172558513441939,0.5363295880149812,,,0.3448275862068966
Moscatel,0.14772727272727273,,,0.5387792198838065,0.3658419115221517,
Moscato,0.08669640168623909,0.08761969904240766,0.24056369078197784,,0.1413643472041066,0.162814804308423
Mourvèdre,0.32608695652173914,0.45113655169913736,,,,0.38660801740001416
Muscat,0.2553231779603227,0.34039012213381126,0.11627906976744186,0.09770114942528735,0.20078575530208856,0.21726750692257987
Muscat d'Alexandrie,0.17857142857142858,0.18181818181818182,,,,0.28735632183908044
Petit Manseng,,0.3567279386481636,0.43865133316896204,,,0.30625850958594303
Petit Verdot,0.5860547774543148,0.43478260869565216,0.4227119602226466,0.3354498519059898,0.6111328093861828,0.44293833073921185
Petite Verdot,,0.2976190476190476,,0.36507936507936506,0.46256684491978606,0.5253181907112979
Pinot Grigio,0.14204663705035347,,0.2091391826556961,,,0.17511883409378418
Pinot Noir,0.22138165494943315,0.8897254609235176,0.27954360162011466,0.3612287358284122,0.2289874830137331,0.4941782522047279
Red Blend,0.44214475602473374,0.24994097538314983,0.4413159786911187,0.2414598993928711,0.395238454086756,0.3796624385071053
Rhône-style Red Blend,0.25555555555555554,0.36496008274562586,,0.4837557394180592,0.1823529411764706,0.41136046264063164
Rhône-style White Blend,0.1724137931034483,0.42521098969095006,,,,0.3160667122570948
Riesling,0.19064371505326896,0.3541452611497952,0.23830051025871313,0.2240889285006932,0.24390243902439024,0.22005679534099443
Rosado,,,,0.1511627906976744,0.1546110972253126,0.3218390804597701
Rosé,0.15340426194220716,0.2217000452741578,0.1819447343648321,0.14094009381067477,0.1483303650119786,0.23082489927747324
Sauvignon,,0.24147958700388364,0.30503861475664384,,0.178235383969145,
