location,metric,winery,country,lat,lon
"Ad Vivum winery ,Yountville, California, US",1.4202508960573477,Ad Vivum,US,38.40157809999999,-122.3608105
"Aiken winery ,Oakville, California, US",1.4482799808886766,Aiken,US,38.4412684,-122.4098023
"Aiken winery ,Rutherford, California, US",1.3893762825546934,Aiken,US,38.4601072,-122.4232892
"Aloft winery ,Howell Mountain, California, US",1.5957446808510638,Aloft,US,38.576476,-122.458354
"Alpha Omega winery ,Atlas Peak, California, US",2.0234958278436537,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,Oak Knoll District, California, US",2.6595744680851063,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,Oakville, California, US",1.988612031869901,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,Rutherford, California, US",1.8847475548506478,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,St. Helena, California, US",2.5510204081632653,Alpha Omega,US,38.4705541,-122.4289289
"Amici winery ,Oakville, California, US",1.4293478260869565,Amici,US,38.6116182,-122.5924967
"Amici winery ,Rutherford, California, US",1.3493704998281657,Amici,US,38.6116182,-122.5924967
"Amuse Bouche winery ,Napa Valley, California, US",2.1052631578947367,Amuse Bouche,US,38.3003882,-122.2860389
"Andrus winery ,Napa Valley, California, US",1.3297872340425532,Andrus,US,38.4053712,-122.3322906
"Araujo winery ,Napa Valley, California, US",2.806122448979592,Araujo,US,38.5844674,-122.5545539
"Arcudi winery ,Howell Mountain, California, US",1.6129032258064515,Arcudi,US,38.3035344,-122.2749064
"Au Sommet winery ,Atlas Peak, California, US",2.6184470278569862,Au Sommet,US,38.443154,-122.24487
"Axios winery ,Napa Valley, California, US",1.3890603778244228,Axios,US,38.5024689,-122.2653887
"Azari winery ,Rutherford, California, US",1.3888888888888888,Azari,US,38.2171277,-122.6847184
"B Cellars winery ,Oakville, California, US",1.467288666680137,B Cellars,US,38.4501335,-122.3750212
"B Cellars winery ,St. Helena, California, US",1.3376259798432253,B Cellars,US,38.4501335,-122.3750212
"BOND winery ,Napa Valley, California, US",2.465576470882887,BOND,US,38.5064611,-122.4184838
"Backstage Winery winery ,Napa Valley, California, US",1.7045454545454546,Backstage Winery,US,37.9336816,-122.5360811
"Beaulieu Vineyard winery ,Rutherford, California, US",1.2539032494047266,Beaulieu Vineyard,US,38.4601072,-122.4232892
"Bell winery ,Mount Veeder, California, US",1.6483516483516483,Bell,US,38.3906149,-122.3447481
"Bello Family Vineyards winery ,Rutherford, California, US",2.717391304347826,Bello Family Vineyards,US,,
"Bennett Lane winery ,Calistoga, California, US",1.3297872340425532,Bennett Lane,US,38.5999171,-122.6152112
"Bentley winery ,Oakville, California, US",1.358695652173913,Bentley,US,38.4412684,-122.4098023
"Better Half winery ,Napa Valley, California, US",1.5116279069767442,Better Half,US,38.5024689,-122.2653887
"Bialla winery ,Napa Valley, California, US",1.369645810557004,Bialla,US,38.429865,-122.243085
"Black Cordon winery ,Napa Valley, California, US",1.2352683548335721,Black Cordon,US,38.347513,-122.358854
"Blair winery ,Arroyo Seco, California, US",2.872397985685502,Blair,US,36.4135756,-121.3424305
"Bryant Family winery ,Napa Valley, California, US",3.4895833333333335,Bryant Family,US,38.4832616,-122.3553808
"Caldwell winery ,Napa Valley, California, US",1.3398169336384438,Caldwell,US,38.2871502,-122.2361459
"Cardinale winery ,Mount Veeder, California, US",1.3157894736842106,Cardinale,US,38.4308544,-122.3884286
"Cardinale winery ,Napa Valley, California, US",2.6086762466525477,Cardinale,US,38.4308544,-122.3884286
"Casa Piena winery ,Napa Valley, California, US",1.5957446808510638,Casa Piena,US,,
"Castello di Amorosa winery ,Rutherford, California, US",1.717872619432928,Castello di Amorosa,US,38.5585812,-122.5427528
"Celani Family Vineyards winery ,Napa Valley, California, US",2.03125,Celani Family Vineyards,US,38.3344227,-122.2930106
"Chateau Montelena winery ,Calistoga, California, US",1.584759481961147,Chateau Montelena,US,38.602514,-122.597722
"Cielo Malibu Estate Vineyards winery ,Saddle Rock-Malibu, California, US",1.615831517792302,Cielo Malibu Estate Vineyards,US,34.0961851,-118.8108667
"Cliff Lede winery ,Napa Valley, California, US",1.7741935483870968,Cliff Lede,US,38.4239454,-122.3446283
"Colgin winery ,Napa Valley, California, US",2.525633104090551,Colgin,US,38.4718227,-122.3480127
"Constant winery ,Napa Valley, California, US",1.3829787234042554,Constant,US,38.54334530000001,-122.578433
"Continuum winery ,Napa Valley, California, US",1.443298969072165,Continuum,US,38.467257,-122.328257
"Continuum winery ,Oakville, California, US",1.9161991584852736,Continuum,US,38.48338390000001,-122.3549602
"Coomber Family Ranch winery ,Rutherford, California, US",1.5252268602540835,Coomber Family Ranch,US,38.45910120000001,-122.4225638
"Crosby Roamann winery ,Napa Valley, California, US",1.4673913043478262,Crosby Roamann,US,38.260348,-122.27419
"Crown Point winery ,Happy Canyon of Santa Barbara, California, US",1.9372258771929824,Crown Point,US,34.6299687,-120.0150867
"D.R. Stephens winery ,St. Helena, California, US",1.6129032258064515,D.R. Stephens,US,38.5473988,-122.4883611
"Decades5 winery ,Atlas Peak, California, US",1.686046511627907,Decades5,US,38.452386,-122.29932
"Decades5 winery ,Napa Valley, California, US",1.5425531914893618,Decades5,US,38.3559711,-122.3232496
"Devil Proof winery ,Alexander Valley, California, US",1.2541993281075028,Devil Proof,US,38.5834056,-122.8464463
"Diamond Creek winery ,Diamond Mountain District, California, US",2.021747834449052,Diamond Creek,US,38.562105,-122.580042
"Diamond Creek winery ,Napa Valley, California, US",2.231260882244888,Diamond Creek,US,38.562105,-122.580042
"Dos Lagos Vineyards winery ,Atlas Peak, California, US",1.358856197565875,Dos Lagos Vineyards,US,38.429865,-122.243085
"Entrepreneur winery ,Diamond Mountain District, California, US",1.6666666666666667,Entrepreneur,US,38.54334530000001,-122.578433
"Episode winery ,Napa Valley, California, US",2.0555555555555554,Episode,US,38.5024689,-122.2653887
"Etude winery ,St. Helena, California, US",1.2362637362637363,Etude,US,38.2458215,-122.3150228
"Far Niente winery ,Oakville, California, US",1.5313062953405718,Far Niente,US,38.4257839,-122.4031331
"Flora Springs winery ,Rutherford, California, US",1.2622018904676582,Flora Springs,US,38.48827,-122.449789
"Flora Springs winery ,St. Helena, California, US",1.3836471340471583,Flora Springs,US,38.48827,-122.449789
"Foretell winery ,Spring Mountain District, California, US",1.6666666666666667,Foretell,US,38.50707,-122.4919008
"Frank Family winery ,Rutherford, California, US",1.4325245176887405,Frank Family,US,38.559106,-122.521703
"Gallica winery ,Napa Valley, California, US",1.6853932584269662,Gallica,US,,
"Gandona winery ,Napa Valley, California, US",1.958762886597938,Gandona,US,38.4770268,-122.3460248
"Grgich Hills winery ,Yountville, California, US",1.5638158047781887,Grgich Hills,US,38.4653981,-122.4289932
"Guarachi Family winery ,St. Helena, California, US",2.6595744680851063,Guarachi Family,US,38.431053,-122.294381
"Gypsy Canyon winery ,Sta. Rita Hills, California, US",1.3053718134589827,Gypsy Canyon,US,,
"Hall winery ,Diamond Mountain District, California, US",2.165602221593263,Hall,US,38.4894431,-122.4528165
"Hall winery ,Howell Mountain, California, US",1.648936170212766,Hall,US,38.4894431,-122.4528165
"Hall winery ,Mount Veeder, California, US",1.6608269153482116,Hall,US,38.4894431,-122.4528165
"Hall winery ,Rutherford, California, US",1.9120065789473684,Hall,US,38.4894431,-122.4528165
"Hall winery ,St. Helena, California, US",1.2954934049829019,Hall,US,38.4894431,-122.4528165
"Hall winery ,Stags Leap District, California, US",1.6845878136200716,Hall,US,38.4894431,-122.4528165
"Harlan Estate winery ,Napa Valley, California, US",3.059723870630095,Harlan Estate,US,38.41489019999999,-122.4076277
"Hawk and Horse Vineyards winery ,Napa Valley, California, US",1.7045454545454546,Hawk and Horse Vineyards,US,38.859794,-122.611616
"Heitz winery ,Oakville, California, US",2.393617021276596,Heitz,US,38.5015586,-122.4165947
"Hewitt winery ,Rutherford, California, US",2.2643773801914864,Hewitt,US,38.4703165,-122.4331843
"Hudson Vineyards winery ,Napa Valley, California, US",1.3440860215053763,Hudson Vineyards,US,38.2572263,-122.3602588
"Hundred Acre winery ,Napa Valley, California, US",3.1914893617021276,Hundred Acre,US,38.3013054,-122.2824685
"Hunt McKay winery ,Rutherford, California, US",1.358695652173913,Hunt McKay,US,38.459072,-122.421968
"Hyde de Villaine winery ,Sonoma Mountain, California, US",1.2473118279569892,Hyde de Villaine,US,38.3229698,-122.5749837
"JCB winery ,Napa Valley, California, US",2.066166137145634,JCB,US,38.4012008,-122.3604548
"Janzen winery ,Oakville, California, US",1.4571668533034714,Janzen,US,38.4366996,-122.402785
"Jarvis winery ,Napa Valley, California, US",1.2741186151143384,Jarvis,US,38.3543897,-122.2156568
"Joseph Phelps winery ,Napa Valley, California, US",1.2760371120248293,Joseph Phelps,US,38.507426,-122.4288598
"Joseph Phelps winery ,Oakville, California, US",2.6881720430107525,Joseph Phelps,US,38.507426,-122.4288598
"Judge Palmer winery ,Rutherford, California, US",1.310755403497339,Judge Palmer,US,38.6247742,-122.9136827
"Kapcsandy Family Winery winery ,Yountville, California, US",3.532608695652174,Kapcsandy Family Winery,US,38.4227207,-122.3484802
"Knights Bridge winery ,Napa Valley, California, US",1.3367885486148303,Knights Bridge,US,38.5786056,-122.5793909
