location,metric,winery,country,lat,lon
"Ad Vivum winery ,Yountville, California, US",130.0,Ad Vivum,US,38.40157809999999,-122.3608105
"Aiken winery ,Oakville, California, US",132.5,Aiken,US,38.4412684,-122.4098023
"Aiken winery ,Rutherford, California, US",125.0,Aiken,US,38.4601072,-122.4232892
"Aloft winery ,Howell Mountain, California, US",150.0,Aloft,US,38.576476,-122.458354
"Alpha Omega winery ,Atlas Peak, California, US",195.0,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,Oak Knoll District, California, US",250.0,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,Oakville, California, US",186.0,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,Rutherford, California, US",176.66666666666666,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,St. Helena, California, US",250.0,Alpha Omega,US,38.4705541,-122.4289289
"Amici winery ,Oakville, California, US",130.0,Amici,US,38.6116182,-122.5924967
"Amici winery ,Rutherford, California, US",125.0,Amici,US,38.6116182,-122.5924967
"Amuse Bouche winery ,Napa Valley, California, US",200.0,Amuse Bouche,US,38.3003882,-122.2860389
"Andrus winery ,Napa Valley, California, US",125.0,Andrus,US,38.4053712,-122.3322906
"Araujo winery ,Napa Valley, California, US",275.0,Araujo,US,38.5844674,-122.5545539
"Arcudi winery ,Howell Mountain, California, US",150.0,Arcudi,US,38.3035344,-122.2749064
"Au Sommet winery ,Atlas Peak, California, US",250.0,Au Sommet,US,38.443154,-122.24487
"Axios winery ,Napa Valley, California, US",125.0,Axios,US,38.5024689,-122.2653887
"Azari winery ,Rutherford, California, US",125.0,Azari,US,38.2171277,-122.6847184
"B Cellars winery ,Oakville, California, US",134.375,B Cellars,US,38.4501335,-122.3750212
"B Cellars winery ,St. Helena, California, US",126.5,B Cellars,US,38.4501335,-122.3750212
"BOND winery ,Napa Valley, California, US",230.0,BOND,US,38.5064611,-122.4184838
"Backstage Winery winery ,Napa Valley, California, US",150.0,Backstage Winery,US,37.9336816,-122.5360811
"Beaulieu Vineyard winery ,Rutherford, California, US",116.11111111111111,Beaulieu Vineyard,US,38.4601072,-122.4232892
"Bell winery ,Mount Veeder, California, US",150.0,Bell,US,38.3906149,-122.3447481
"Bello Family Vineyards winery ,Rutherford, California, US",250.0,Bello Family Vineyards,US,,
"Bennett Lane winery ,Calistoga, California, US",125.0,Bennett Lane,US,38.5999171,-122.6152112
"Bentley winery ,Oakville, California, US",125.0,Bentley,US,38.4412684,-122.4098023
"Better Half winery ,Napa Valley, California, US",130.0,Better Half,US,38.5024689,-122.2653887
"Bialla winery ,Napa Valley, California, US",125.0,Bialla,US,38.429865,-122.243085
"Black Cordon winery ,Napa Valley, California, US",113.33333333333333,Black Cordon,US,38.347513,-122.358854
"Blair winery ,Arroyo Seco, California, US",261.44444444444446,Blair,US,36.4135756,-121.3424305
"Boeschen Vineyards winery ,Napa Valley, California, US",113.33333333333333,Boeschen Vineyards,US,38.5383726,-122.4894583
"Bryant Family winery ,Napa Valley, California, US",335.0,Bryant Family,US,38.4832616,-122.3553808
"Caldwell winery ,Napa Valley, California, US",125.0,Caldwell,US,38.2871502,-122.2361459
"Cardinale winery ,Mount Veeder, California, US",125.0,Cardinale,US,38.4308544,-122.3884286
"Cardinale winery ,Napa Valley, California, US",250.0,Cardinale,US,38.4308544,-122.3884286
"Casa Piena winery ,Napa Valley, California, US",150.0,Casa Piena,US,,
"Castello di Amorosa winery ,Rutherford, California, US",157.5,Castello di Amorosa,US,38.5585812,-122.5427528
"Celani Family Vineyards winery ,Napa Valley, California, US",195.0,Celani Family Vineyards,US,38.3344227,-122.2930106
"Chateau Montelena winery ,Calistoga, California, US",147.5,Chateau Montelena,US,38.602514,-122.597722
"Cielo Malibu Estate Vineyards winery ,Saddle Rock-Malibu, California, US",135.0,Cielo Malibu Estate Vineyards,US,34.0961851,-118.8108667
"Cliff Lede winery ,Napa Valley, California, US",165.0,Cliff Lede,US,38.4239454,-122.3446283
"Colgin winery ,Napa Valley, California, US",243.33333333333334,Colgin,US,38.4718227,-122.3480127
"Constant winery ,Napa Valley, California, US",130.0,Constant,US,38.54334530000001,-122.578433
"Continuum winery ,Napa Valley, California, US",140.0,Continuum,US,38.467257,-122.328257
"Continuum winery ,Oakville, California, US",177.5,Continuum,US,38.48338390000001,-122.3549602
"Coomber Family Ranch winery ,Rutherford, California, US",138.0,Coomber Family Ranch,US,38.45910120000001,-122.4225638
"Crosby Roamann winery ,Napa Valley, California, US",135.0,Crosby Roamann,US,38.260348,-122.27419
"Crown Point winery ,Happy Canyon of Santa Barbara, California, US",185.0,Crown Point,US,34.6299687,-120.0150867
"D.R. Stephens winery ,St. Helena, California, US",150.0,D.R. Stephens,US,38.5473988,-122.4883611
"Decades5 winery ,Atlas Peak, California, US",145.0,Decades5,US,38.452386,-122.29932
"Decades5 winery ,Napa Valley, California, US",145.0,Decades5,US,38.3559711,-122.3232496
"Devil Proof winery ,Alexander Valley, California, US",118.33333333333333,Devil Proof,US,38.5834056,-122.8464463
"Diamond Creek winery ,Diamond Mountain District, California, US",190.625,Diamond Creek,US,38.562105,-122.580042
"Diamond Creek winery ,Napa Valley, California, US",207.5,Diamond Creek,US,38.562105,-122.580042
"Dos Lagos Vineyards winery ,Atlas Peak, California, US",125.0,Dos Lagos Vineyards,US,38.429865,-122.243085
"Entrepreneur winery ,Diamond Mountain District, California, US",150.0,Entrepreneur,US,38.54334530000001,-122.578433
"Episode winery ,Napa Valley, California, US",185.0,Episode,US,38.5024689,-122.2653887
"Etude winery ,St. Helena, California, US",113.33333333333333,Etude,US,38.2458215,-122.3150228
"Far Niente winery ,Oakville, California, US",144.0,Far Niente,US,38.4257839,-122.4031331
"Flora Springs winery ,Rutherford, California, US",117.36363636363636,Flora Springs,US,38.48827,-122.449789
"Flora Springs winery ,St. Helena, California, US",125.0,Flora Springs,US,38.48827,-122.449789
"Foretell winery ,Spring Mountain District, California, US",150.0,Foretell,US,38.50707,-122.4919008
"Frank Family winery ,Rutherford, California, US",131.15384615384616,Frank Family,US,38.559106,-122.521703
"Gallica winery ,Napa Valley, California, US",150.0,Gallica,US,,
"Gandona winery ,Napa Valley, California, US",190.0,Gandona,US,38.4770268,-122.3460248
"Grgich Hills winery ,Yountville, California, US",141.66666666666666,Grgich Hills,US,38.4653981,-122.4289932
"Guarachi Family winery ,St. Helena, California, US",250.0,Guarachi Family,US,38.431053,-122.294381
"Gypsy Canyon winery ,Sta. Rita Hills, California, US",120.0,Gypsy Canyon,US,,
"Hall winery ,Diamond Mountain District, California, US",203.33333333333334,Hall,US,38.4894431,-122.4528165
"Hall winery ,Howell Mountain, California, US",155.0,Hall,US,38.4894431,-122.4528165
"Hall winery ,Mount Veeder, California, US",155.0,Hall,US,38.4894431,-122.4528165
"Hall winery ,Rutherford, California, US",182.5,Hall,US,38.4894431,-122.4528165
"Hall winery ,St. Helena, California, US",117.5,Hall,US,38.4894431,-122.4528165
"Hall winery ,Stags Leap District, California, US",156.66666666666666,Hall,US,38.4894431,-122.4528165
"Harlan Estate winery ,Napa Valley, California, US",290.0,Harlan Estate,US,38.41489019999999,-122.4076277
"Hawk and Horse Vineyards winery ,Napa Valley, California, US",150.0,Hawk and Horse Vineyards,US,38.859794,-122.611616
"Heitz winery ,Oakville, California, US",225.0,Heitz,US,38.5015586,-122.4165947
"Hewitt winery ,Rutherford, California, US",207.0,Hewitt,US,38.4703165,-122.4331843
"Hourglass winery ,Napa Valley, California, US",113.4375,Hourglass,US,38.57685379999999,-122.5192188
"Hudson Vineyards winery ,Napa Valley, California, US",125.0,Hudson Vineyards,US,38.2572263,-122.3602588
"Hundred Acre winery ,Napa Valley, California, US",300.0,Hundred Acre,US,38.3013054,-122.2824685
"Hunt McKay winery ,Rutherford, California, US",125.0,Hunt McKay,US,38.459072,-122.421968
"Hyde de Villaine winery ,Sonoma Mountain, California, US",116.0,Hyde de Villaine,US,38.3229698,-122.5749837
"JCB winery ,Napa Valley, California, US",189.54545454545453,JCB,US,38.4012008,-122.3604548
"Janzen winery ,Oakville, California, US",137.5,Janzen,US,38.4366996,-122.402785
"Jarvis winery ,Napa Valley, California, US",117.2127659574468,Jarvis,US,38.3543897,-122.2156568
"Joseph Phelps winery ,Napa Valley, California, US",120.1875,Joseph Phelps,US,38.507426,-122.4288598
"Joseph Phelps winery ,Oakville, California, US",250.0,Joseph Phelps,US,38.507426,-122.4288598
"Judge Palmer winery ,Rutherford, California, US",118.33333333333333,Judge Palmer,US,38.6247742,-122.9136827
"Kapcsandy Family Winery winery ,Yountville, California, US",325.0,Kapcsandy Family Winery,US,38.4227207,-122.3484802
"Knights Bridge winery ,Napa Valley, California, US",125.0,Knights Bridge,US,38.5786056,-122.5793909
"Knights Bridge winery ,St. Helena, California, US",135.0,Knights Bridge,US,38.5786056,-122.5793909
"Law winery ,Paso Robles, California, US",140.1,Law,US,35.6245596,-120.7593918
"Lineage winery ,Livermore Valley, California, US",141.0,Lineage,US,37.664289,-121.728086
"Linked winery ,Knights Valley, California, US",120.0,Linked,US,38.564292,-122.6762124
"M by Michael Mondavi winery ,Napa Valley, California, US",198.75,M by Michael Mondavi,US,38.2315007,-122.2580574
"Macauley winery ,Oakville, California, US",175.0,Macauley,US,38.5052429,-122.4703868
"Martin Estate winery ,Rutherford, California, US",120.0,Martin Estate,US,,
"Maybach winery ,Calistoga, California, US",125.0,Maybach,US,38.590246,-122.594045
"Maybach winery ,Oakville, California, US",137.5,Maybach,US,38.4412684,-122.4098023
"Meander winery ,Rutherford, California, US",114.0,Meander,US,38.5043817,-122.4854945
"Merus winery ,Coombsville, California, US",160.0,Merus,US,38.5526845,-122.4837653
"Merus winery ,Napa Valley, California, US",145.0,Merus,US,38.5526845,-122.4837653
"Metaphora winery ,Napa Valley, California, US",150.0,Metaphora,US,38.5024689,-122.2653887
"Meteor winery ,Napa Valley, California, US",225.0,Meteor,US,38.310864,-122.23739
"Mithra winery ,Mount Veeder, California, US",190.0,Mithra,US,38.390851,-122.439359
"Mockingbird winery ,Napa Valley, California, US",170.0,Mockingbird,US,38.5570623,-122.4922766
"Moone-Tsai winery ,Napa Valley, California, US",120.83333333333333,Moone-Tsai,US,38.5282019,-122.5020699
"Newton winery ,Mount Veeder, California, US",190.0,Newton,US,38.3793566,-122.4477575
"Newton winery ,Spring Mountain District, California, US",116.66666666666667,Newton,US,38.500989,-122.497092
"Notre Vin winery ,Howell Mountain, California, US",124.8,Notre Vin,US,38.576476,-122.458354
"Olabisi winery ,Howell Mountain, California, US",125.0,Olabisi,US,38.5789343,-122.5795016
"Old Acre Wines winery ,Rutherford, California, US",120.0,Old Acre Wines,US,38.3013054,-122.2824685
"On Q winery ,Coombsville, California, US",125.0,On Q,US,38.295544,-122.285404
"On Q winery ,Napa Valley, California, US",117.0,On Q,US,38.4408794,-122.3813501
"Opus One winery ,Napa Valley, California, US",195.0,Opus One,US,38.4388544,-122.4043242
"Ovid winery ,Napa Valley, California, US",195.0,Ovid,US,38.461053,-122.343615
"Patel winery ,Coombsville, California, US",150.0,Patel,US,38.2971707,-122.2864459
"Patel winery ,Rutherford, California, US",175.0,Patel,US,38.45910120000001,-122.4225638
"Patland winery ,Atlas Peak, California, US",115.33333333333333,Patland,US,38.3990083,-122.2927451
"Patrimony winery ,Adelaida District, California, US",275.0,Patrimony,US,36.778261,-119.4179324
"Paul Hobbs winery ,Napa Valley, California, US",167.5,Paul Hobbs,US,38.4401811,-122.8581307
"Paul Hobbs winery ,Oakville, California, US",275.0,Paul Hobbs,US,38.4401811,-122.8581307
"Paul Hobbs winery ,St. Helena, California, US",175.0,Paul Hobbs,US,38.4401811,-122.8581307
"Peace Water winery ,Howell Mountain, California, US",120.0,Peace Water,US,39.9782051,-86.12798719999999
"PerryMoore winery ,Oakville, California, US",150.0,PerryMoore,US,38.4412684,-122.4098023
"PerryMoore winery ,St. Helena, California, US",125.0,PerryMoore,US,38.5101424,-122.4799022
"Pillar Rock winery ,Stags Leap District, California, US",125.0,Pillar Rock,US,38.40157809999999,-122.3608105
"Pont de Chevalier winery ,Napa Valley, California, US",135.0,Pont de Chevalier,US,38.5024689,-122.2653887
"Portfolio winery ,Napa Valley, California, US",141.25,Portfolio,US,38.5294533,-122.4908152
"Pride Mountain winery ,Sonoma County-Napa County, California, US",116.42857142857143,Pride Mountain,US,38.5258111,-122.5629009
"Promise winery ,Rutherford, California, US",225.0,Promise,US,38.504695,-122.470755
"Provenance Vineyards winery ,Yountville, California, US",125.0,Provenance Vineyards,US,38.46858,-122.434135
"Quintessa winery ,Rutherford, California, US",135.0,Quintessa,US,38.486849,-122.4105678
"Ramey winery ,Oakville, California, US",161.66666666666666,Ramey,US,38.6035765,-122.8625648
"Revival winery ,Napa Valley, California, US",125.0,Revival,US,38.5024689,-122.2653887
"Rowland winery ,Yountville, California, US",125.0,Rowland,US,38.4064011,-122.3672288
"Schrader winery ,Rutherford, California, US",125.0,Schrader,US,38.45910120000001,-122.4225638
"Schramsberg winery ,Napa-Monterey-Mendocino, California, US",200.0,Schramsberg,US,38.5494815,-122.5378838
"Sean Thackrey winery ,Napa Valley, California, US",132.5,Sean Thackrey,US,38.5024689,-122.2653887
"Shafer winery ,Stags Leap District, California, US",154.75,Shafer,US,38.421021,-122.326365
"So Rare winery ,Rutherford, California, US",150.0,So Rare,US,38.4601072,-122.4232892
"Sojourn winery ,Napa Valley, California, US",117.5,Sojourn,US,38.2914666,-122.4557344
"Spottswoode winery ,St. Helena, California, US",175.0,Spottswoode,US,38.50001109999999,-122.4787297
"Stag's Leap Wine Cellars winery ,Stags Leap District, California, US",151.66666666666666,Stag's Leap Wine Cellars,US,38.3992276,-122.3235399
"Staglin winery ,Napa Valley, California, US",250.0,Staglin,US,38.442478,-122.424441
"Swanson winery ,Amador County, California, US",140.0,Swanson,US,38.4749872,-120.8497065
"Swingset winery ,Napa Valley, California, US",120.0,Swingset,US,38.5024689,-122.2653887
"The Vineyard House winery ,Napa Valley, California, US",182.14285714285714,The Vineyard House,US,38.4186061,-122.4111502
"The Vineyard House winery ,Oakville, California, US",225.0,The Vineyard House,US,38.4186061,-122.4111502
"Tierra Roja winery ,Oakville, California, US",141.25,Tierra Roja,US,38.437357,-122.402946
"Tobacco Road winery ,Napa Valley, California, US",123.71428571428571,Tobacco Road,US,38.2604416,-122.2741616
