location,metric,winery,country,lat,lon
"Adelaida winery ,Paso Robles, California, US",11.0,Adelaida,US,35.645236,-120.802497
"Alexander Valley Vineyards winery ,Alexander Valley, California, US",9.0,Alexander Valley Vineyards,US,38.65649,-122.786907
"Andis winery ,Amador County, California, US",9.0,Andis,US,38.5214988,-120.8182701
"Ascension Cellars winery ,Paso Robles, California, US",11.0,Ascension Cellars,US,35.621667,-120.6877848
"B Cellars winery ,Napa Valley, California, US",9.0,B Cellars,US,38.4501335,-122.3750212
"Baiocchi Wines winery ,Fair Play, California, US",10.0,Baiocchi Wines,US,38.598937,-120.707081
"Balletto winery ,Russian River Valley, California, US",9.0,Balletto,US,38.42292399999999,-122.814177
"Barefoot winery ,California, California, US",11.0,Barefoot,US,35.55249999999999,-120.4893988
"Black Box winery ,California, California, US",9.0,Black Box,US,36.778261,-119.4179324
"Black Stallion winery ,Napa Valley, California, US",9.0,Black Stallion,US,38.35983179999999,-122.2906388
"Boeger winery ,El Dorado, California, US",15.0,Boeger,US,38.7427956,-120.7747328
"Bogle winery ,California, California, US",9.0,Bogle,US,38.38895780000001,-121.5414851
"Bonterra winery ,Mendocino County, California, US",11.0,Bonterra,US,39.040203,-123.1852984
"Bota Box winery ,California, California, US",11.0,Bota Box,US,37.8403398,-121.2053963
"Brander winery ,Santa Ynez Valley, California, US",10.0,Brander,US,34.6573086,-120.0983387
"Brassfield winery ,High Valley, California, US",9.0,Brassfield,US,39.0463889,-122.7094444
"Brecon Estate winery ,Paso Robles, California, US",9.0,Brecon Estate,US,35.5978941,-120.8316768
"Broken Earth winery ,Paso Robles, California, US",10.0,Broken Earth,US,35.5918578,-120.6940998
"Brutocao winery ,Mendocino, California, US",11.0,Brutocao,US,38.971171,-123.1169222
"Buena Vista winery ,Sonoma County, California, US",9.0,Buena Vista,US,38.2995043,-122.4219437
"Buttonwood Farm winery ,Santa Ynez Valley, California, US",9.0,Buttonwood Farm,US,34.622191,-120.117916
"Calcareous winery ,Paso Robles, California, US",16.0,Calcareous,US,35.6266248,-120.7521032
"Cass winery ,Paso Robles, California, US",10.0,Cass,US,35.5977089,-120.5649533
"Castoro Cellars winery ,Paso Robles, California, US",10.0,Castoro Cellars,US,35.5772607,-120.722921
"Chalk Hill winery ,Chalk Hill, California, US",12.0,Chalk Hill,US,38.5682227,-122.7710031
"Cinnabar winery ,Paso Robles, California, US",9.0,Cinnabar,US,37.255702,-122.036263
"Clayhouse winery ,Paso Robles, California, US",9.0,Clayhouse,US,35.656393,-120.408467
"Clos La Chance winery ,Central Coast, California, US",13.0,Clos La Chance,US,37.0728894,-121.6432703
"Clos Solène winery ,Paso Robles, California, US",10.0,Clos Solène,US,35.5866121,-120.7682258
"Concannon winery ,Central Coast, California, US",9.0,Concannon,US,37.666199,-121.7397388
"Concannon winery ,Livermore Valley, California, US",11.0,Concannon,US,37.666199,-121.7397388
"Coquelicot winery ,Santa Ynez Valley, California, US",10.0,Coquelicot,US,34.5914508,-120.1326817
"Daou winery ,Paso Robles, California, US",10.0,Daou,US,35.6412775,-120.7843305
"DeLorimier winery ,Alexander Valley, California, US",9.0,DeLorimier,US,38.70864600000001,-122.878451
"Demetria winery ,Santa Ynez Valley, California, US",10.0,Demetria,US,34.7619541,-120.1159724
"Derby winery ,Paso Robles, California, US",9.0,Derby,US,35.620349,-120.68697
"Donati winery ,Paicines, California, US",9.0,Donati,US,35.5529635,-120.7596307
"EOS winery ,Paso Robles, California, US",9.0,EOS,US,35.6451869,-120.642575
"Eberle winery ,Paso Robles, California, US",13.0,Eberle,US,35.6498338,-120.6281877
"Epiphany winery ,Santa Barbara County, California, US",10.0,Epiphany,US,34.6669689,-120.1147479
"Fenestra winery ,Livermore Valley, California, US",21.0,Fenestra,US,37.6418073,-121.7959684
"Fetzer winery ,California, California, US",10.0,Fetzer,US,38.9906911,-123.0988077
"Firestone winery ,Santa Ynez Valley, California, US",10.0,Firestone,US,34.712647,-120.1438483
"Flora Springs winery ,Napa Valley, California, US",9.0,Flora Springs,US,38.48827,-122.449789
"Grgich Hills winery ,Napa Valley, California, US",10.0,Grgich Hills,US,38.4653981,-122.4289932
"Hearst Ranch winery ,Paso Robles, California, US",11.0,Hearst Ranch,US,35.7065201,-120.6797824
"Helwig winery ,Shenandoah Valley (CA), California, US",10.0,Helwig,US,38.5311387,-120.811756
"Hendry winery ,Napa Valley, California, US",13.0,Hendry,US,38.3211569,-122.343578
"Holly's Hill winery ,El Dorado, California, US",9.0,Holly's Hill,US,38.6758533,-120.6967764
"Hunt Cellars winery ,Paso Robles, California, US",9.0,Hunt Cellars,US,35.566526,-120.745808
"Ironstone winery ,Lodi, California, US",9.0,Ironstone,US,38.120867,-120.467255
"J. Lohr winery ,Paso Robles, California, US",12.0,J. Lohr,US,35.69088199999999,-120.641421
"Jada Vineyard & Winery winery ,Paso Robles Willow Creek District, California, US",9.0,Jada Vineyard & Winery,US,35.5817,-120.796554
"Jason-Stephens winery ,Santa Clara Valley, California, US",11.0,Jason-Stephens,US,36.9968784,-121.5554782
"Joseph Swan Vineyards winery ,Russian River Valley, California, US",11.0,Joseph Swan Vineyards,US,38.483276,-122.8493168
"Joullian winery ,Carmel Valley, California, US",9.0,Joullian,US,36.479346,-121.73287
"Justin winery ,Paso Robles, California, US",12.0,Justin,US,35.6548805,-120.9008026
"Kendall-Jackson winery ,California, California, US",14.0,Kendall-Jackson,US,38.50697479999999,-122.7729337
"Klinker Brick winery ,Lodi, California, US",10.0,Klinker Brick,US,38.124171,-121.2157285
"Koehler winery ,Santa Ynez Valley, California, US",11.0,Koehler,US,34.7310269,-120.1290745
"Kokomo winery ,Dry Creek Valley, California, US",11.0,Kokomo,US,38.673273,-122.934075
"Kunde winery ,Sonoma Valley, California, US",14.0,Kunde,US,38.4104285,-122.5397266
"Las Positas winery ,Livermore Valley, California, US",14.0,Las Positas,US,37.6458024,-121.7704979
"Lava Cap winery ,El Dorado, California, US",14.0,Lava Cap,US,38.75147270000001,-120.7405121
"Le Vigne winery ,Paso Robles, California, US",11.0,Le Vigne,US,35.6743813,-120.6591659
"Lone Madrone winery ,Paso Robles, California, US",12.0,Lone Madrone,US,35.6500186,-120.7967004
"Longevity winery ,Livermore Valley, California, US",9.0,Longevity,US,37.6759437,-121.7192298
"Lorenzi Estate winery ,Temecula Valley, California, US",11.0,Lorenzi Estate,US,33.5420218,-117.0287719
"Lucas & Lewellen winery ,Santa Barbara County, California, US",12.0,Lucas & Lewellen,US,33.0842854,-96.5766577
"Markham winery ,Napa Valley, California, US",10.0,Markham,US,38.5192598,-122.4889283
"Martin Ranch winery ,Santa Clara Valley, California, US",9.0,Martin Ranch,US,37.0403172,-121.7114895
"McCay Cellars winery ,Lodi, California, US",9.0,McCay Cellars,US,38.1327051,-121.2722189
"McManis winery ,California, California, US",13.0,McManis,US,37.75722510000001,-121.0790518
"Merryvale winery ,Napa Valley, California, US",9.0,Merryvale,US,38.5018048,-122.4646646
"Michael David winery ,Lodi, California, US",12.0,Michael David,US,38.1157776,-121.3719307
"Midnight winery ,Paso Robles, California, US",15.0,Midnight,US,35.575356,-120.736549
"Minassian-Young winery ,Paso Robles, California, US",10.0,Minassian-Young,US,35.62489619999999,-120.7649713
"Miraflores winery ,El Dorado, California, US",11.0,Miraflores,US,38.677749,-120.638405
"Mirassou winery ,California, California, US",9.0,Mirassou,US,36.778261,-119.4179324
"Mounts winery ,Dry Creek Valley, California, US",12.0,Mounts,US,38.6560516,-122.9460507
"Municipal Winemakers winery ,Santa Barbara County, California, US",9.0,Municipal Winemakers,US,34.4138889,-119.6886111
"Naggiar winery ,Sierra Foothills, California, US",17.0,Naggiar,US,39.0571791,-121.1865826
"Napa Cellars winery ,Napa Valley, California, US",9.0,Napa Cellars,US,38.4212828,-122.3900237
"Navarro winery ,Anderson Valley, California, US",10.0,Navarro,US,39.095839,-123.482162
"Nottingham Cellars winery ,Livermore Valley, California, US",10.0,Nottingham Cellars,US,37.6765212,-121.7192675
"Oak Grove winery ,California, California, US",9.0,Oak Grove,US,38.3034167,-121.5731793
"Occasio winery ,Livermore Valley, California, US",15.0,Occasio,US,37.6764594,-121.7191764
"Opolo winery ,Paso Robles, California, US",10.0,Opolo,US,35.5912441,-120.8191541
"Parducci winery ,Mendocino, California, US",9.0,Parducci,US,39.1997536,-123.2122641
"Peirano winery ,Lodi, California, US",14.0,Peirano,US,38.1817856,-121.2632065
"Peju winery ,Napa Valley, California, US",13.0,Peju,US,38.4554826,-122.4180526
"Peltier winery ,Lodi, California, US",10.0,Peltier,US,38.187195,-121.241505
"Pomar Junction winery ,Paso Robles, California, US",9.0,Pomar Junction,US,,
"Quivira winery ,Dry Creek Valley, California, US",12.0,Quivira,US,38.6561829,-122.9380601
"Rancho Sisquoc winery ,Santa Barbara County, California, US",10.0,Rancho Sisquoc,US,34.8396569,-120.2116067
"Refugio Ranch winery ,Santa Ynez Valley, California, US",9.0,Refugio Ranch,US,34.6672405,-120.1144875
"Robert Hall winery ,Paso Robles, California, US",13.0,Robert Hall,US,35.6438088,-120.6335171
"Robert Mondavi winery ,Central Coast, California, US",9.0,Robert Mondavi,US,38.4412684,-122.4098023
"Robert Renzoni winery ,Temecula Valley, California, US",10.0,Robert Renzoni,US,33.5109,-117.0185419
"Sanglier Cellars winery ,Sonoma County, California, US",10.0,Sanglier Cellars,US,38.61288,-122.871144
"Sarah's Vineyard winery ,Santa Clara Valley, California, US",14.0,Sarah's Vineyard,US,37.0137116,-121.6446743
"Sculpterra winery ,Paso Robles, California, US",9.0,Sculpterra,US,35.6005134,-120.6106611
"Sextant winery ,Paso Robles, California, US",10.0,Sextant,US,35.572858,-120.738056
"Shannon Ridge winery ,Lake County, California, US",9.0,Shannon Ridge,US,39.022324,-122.6750678
"Skinner winery ,El Dorado, California, US",10.0,Skinner,US,38.588044,-120.6630166
"Sobon Estate winery ,Amador County, California, US",10.0,Sobon Estate,US,38.5323501,-120.7555755
"St. Francis winery ,Sonoma County, California, US",11.0,St. Francis,US,38.436705,-122.576548
"St. Supéry winery ,Napa Valley, California, US",12.0,St. Supéry,US,38.4552623,-122.4143177
"Steven Kent winery ,Livermore Valley, California, US",10.0,Steven Kent,US,37.664233,-121.728133
"Still Waters winery ,Paso Robles, California, US",12.0,Still Waters,US,35.575053,-120.585434
"Summerwood winery ,Paso Robles, California, US",11.0,Summerwood,US,35.5841019,-120.7151971
"Tercero winery ,Santa Barbara County, California, US",10.0,Tercero,US,34.6656639,-120.1140485
"Terre Rouge winery ,Sierra Foothills, California, US",10.0,Terre Rouge,US,38.5203975,-120.8238467
"Tolosa winery ,Edna Valley, California, US",9.0,Tolosa,US,35.23116,-120.624744
"V. Sattui winery ,Napa Valley, California, US",14.0,V. Sattui,US,38.488982,-122.448134
"Villa San Juliette winery ,Paso Robles, California, US",12.0,Villa San Juliette,US,35.749503,-120.6153104
"Vina Robles winery ,Paso Robles, California, US",12.0,Vina Robles,US,35.6462671,-120.6305511
"Wellington winery ,Sonoma County, California, US",12.0,Wellington,US,38.3884178,-122.5280014
"Wellington winery ,Sonoma Valley, California, US",10.0,Wellington,US,38.3884178,-122.5280014
"Woodbridge by Robert Mondavi winery ,California, California, US",11.0,Woodbridge by Robert Mondavi,US,38.4412684,-122.4098023
"Yorkville Cellars winery ,Yorkville Highlands, California, US",9.0,Yorkville Cellars,US,38.906269,-123.231222
"Zaca Mesa winery ,Santa Ynez Valley, California, US",11.0,Zaca Mesa,US,34.7720598,-120.1332689
