location,metric,winery,country,lat,lon
"Alain Brumont winery ,Madiran, Southwest France, France",93.53333333333333,Alain Brumont,France,43.5684425,-0.0252878
"Alain Brumont winery ,Vin de Pays des Côtes de Gascogne, Southwest France, France",94.0,Alain Brumont,France,43.5684425,-0.0252878
"Albert Bichot winery ,Chambertin, Burgundy, France",96.0,Albert Bichot,France,47.0250364,4.8439377
"Albert Bichot winery ,Chambolle-Musigny, Burgundy, France",93.33333333333333,Albert Bichot,France,47.133762,4.9477247
"Albert Bichot winery ,Clos de la Roche, Burgundy, France",95.0,Albert Bichot,France,47.008844,4.797524399999999
"Albert Bichot winery ,Corton-Charlemagne, Burgundy, France",93.75,Albert Bichot,France,47.008844,4.797524399999999
"Albert Bichot winery ,Grands-Echezeaux, Burgundy, France",95.0,Albert Bichot,France,47.17025820000001,4.954158899999999
"Alex Gambal winery ,Charmes-Chambertin, Burgundy, France",95.0,Alex Gambal,France,47.0224244,4.842102
"Alex Gambal winery ,Clos de Vougeot, Burgundy, France",95.0,Alex Gambal,France,47.1750801,4.955768
"Alex Gambal winery ,Latricières-Chambertin, Burgundy, France",95.0,Alex Gambal,France,47.0224244,4.842102
"Au Pied du Mont Chauve winery ,Corton, Burgundy, France",93.5,Au Pied du Mont Chauve,France,47.0772222,4.8497222
"Au Pied du Mont Chauve winery ,Puligny-Montrachet, Burgundy, France",93.33333333333333,Au Pied du Mont Chauve,France,47.0525047,4.3837215
"Barons de Rothschild winery ,Champagne, Champagne, France",96.0,Barons de Rothschild,France,48.9082776,4.0045567
"Bouchard Père & Fils winery ,Chambertin Clos de Bèze, Burgundy, France",96.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Chevalier-Montrachet, Burgundy, France",95.25,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Clos de Vougeot, Burgundy, France",95.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Corton, Burgundy, France",94.5,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Corton-Charlemagne, Burgundy, France",96.0,Bouchard Père & Fils,France,,
