location,metric,winery,country,lat,lon
"A. de Luze et Fils winery ,Bordeaux Blanc, Bordeaux, France",0.43333333333333335,A. de Luze et Fils,France,44.837789,-0.57918
"Albert Bichot winery ,Crémant de Bourgogne, Burgundy, France",0.546590909090909,Albert Bichot,France,47.0525047,4.3837215
"Alliance Loire winery ,Cabernet d'Anjou, Loire Valley, France",0.5625,Alliance Loire,France,47.19824200000001,-0.07275899999999999
"Alpha Loire winery ,Touraine, Loire Valley, France",0.4541666666666667,Alpha Loire,France,47.4177598,1.0230294
"Alter Ego de Palmer winery ,Margaux, Bordeaux, France",0.41547619047619044,Alter Ego de Palmer,France,45.0360184,-0.6687479
"Andre et Mireille Tissot winery ,Crémant de Jura, France Other, France",0.7,Andre et Mireille Tissot,France,46.9249439,5.7793208
"Antoine et Rachel Olivier winery ,Bourgogne, Burgundy, France",0.5958333333333333,Antoine et Rachel Olivier,France,46.9139559,4.683945899999999
"Barton & Guestier winery ,Côtes de Gascogne, Southwest France, France",0.43333333333333335,Barton & Guestier,France,36.0704751,-95.9203639
"Barton & Guestier winery ,Muscadet Sèvre et Maine, Loire Valley, France",0.48047619047619056,Barton & Guestier,France,36.0704751,-95.9203639
"Barton & Guestier winery ,Sancerre, Loire Valley, France",0.41047619047619044,Barton & Guestier,France,36.0704751,-95.9203639
"Belles Vignes winery ,Vin de France, France Other, France",0.4699494949494949,Belles Vignes,France,,
"Benjamin Leroux winery ,Auxey-Duresses, Burgundy, France",0.5507142857142857,Benjamin Leroux,France,47.0252104,4.8452087
"Bernard Magrez winery ,Bordeaux Rosé, Bordeaux, France",0.6,Bernard Magrez,France,44.8059991,-0.6474262
"Bernard Reverdy et Fils winery ,Sancerre, Loire Valley, France",0.4126984126984127,Bernard Reverdy et Fils,France,47.3532269,2.8160611
"Bernard et Christophe Richel winery ,Vin de Savoie, France Other, France",0.4335974025974026,Bernard et Christophe Richel,France,45.4932045,6.472399999999999
"Blason de Bourgogne winery ,Mâcon-Villages, Burgundy, France",0.45000000000000007,Blason de Bourgogne,France,46.3068839,4.828730999999999
"Bouchard Père & Fils winery ,Clos de Vougeot, Burgundy, France",0.46071428571428563,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Corton-Charlemagne, Burgundy, France",0.5,Bouchard Père & Fils,France,,
"Bret Brothers winery ,Mâcon-Villages, Burgundy, France",0.5200000000000001,Bret Brothers,France,46.2705001,4.7649238
"Bret Brothers winery ,Pouilly-Loché, Burgundy, France",0.412363315696649,Bret Brothers,France,46.2705001,4.7649238
"Brotte winery ,Côtes du Rhône, Rhône Valley, France",0.5,Brotte,France,44.054065,4.834646
"Cap Royal winery ,Bordeaux Blanc, Bordeaux, France",0.5430555555555556,Cap Royal,France,44.837789,-0.57918
"Caspen winery ,Vin de Pays des Côtes Catalanes, Languedoc-Roussillon, France",0.55,Caspen,France,43.5912356,3.2583626
"Cave des Grands Crus Blancs winery ,Mâcon Chaintré, Burgundy, France",0.75,Cave des Grands Crus Blancs,France,46.2739122,4.7775884
"Caves de Rauzan winery ,Bordeaux Rosé, Bordeaux, France",0.4143939393939393,Caves de Rauzan,France,44.7785778,-0.1163673
"Chai de Bordes winery ,Bordeaux Blanc, Bordeaux, France",0.47500000000000003,Chai de Bordes,France,44.8803799,-0.5483718
"Chais de Méribel winery ,Sauternes, Bordeaux, France",0.425,Chais de Méribel,France,45.396839,6.566576
"Chantebelle winery ,Côtes de Gascogne, Southwest France, France",0.41250000000000003,Chantebelle,France,,
"Charles Duret winery ,Crémant de Bourgogne, Burgundy, France",0.44375,Charles Duret,France,47.0525047,4.3837215
"Chatelain Desjacques winery ,Val de Loire, Loire Valley, France",0.4166666666666667,Chatelain Desjacques,France,47.5532402,1.0105289
"Château Beauregard-Ducourt winery ,Bordeaux Rosé, Bordeaux, France",0.625,Château Beauregard-Ducourt,France,44.9227498,-0.2019154
"Château Bois Malot winery ,Bordeaux Blanc, Bordeaux, France",0.425,Château Bois Malot,France,44.94524029999999,-0.4553259999999999
"Château Bois de Rolland winery ,Bordeaux Blanc, Bordeaux, France",0.4151785714285714,Château Bois de Rolland,France,44.837789,-0.57918
"Château Bonfort winery ,Montagne-Saint-Émilion, Bordeaux, France",0.5333333333333333,Château Bonfort,France,44.93028530000001,-0.1301373
"Château Bonnet winery ,Bordeaux Rosé, Bordeaux, France",0.43124999999999997,Château Bonnet,France,44.8434429,-0.5742259
"Château Bousquette winery ,Saint-Chinian, Languedoc-Roussillon, France",0.41111111111111115,Château Bousquette,France,43.421143,2.9300069
"Château Carignan winery ,Bordeaux Blanc, Bordeaux, France",0.6750000000000002,Château Carignan,France,44.8101959,-0.4654749
"Château Caville winery ,Bordeaux, Bordeaux, France",0.42500000000000004,Château Caville,France,44.837789,-0.57918
"Château Coussin winery ,Mediterranée, France Other, France",0.4375,Château Coussin,France,43.4765715,5.6770044
