location,metric,winery,country,lat,lon
"Albert Bichot winery ,Chambertin, Burgundy, France",5.520833333333333,Albert Bichot,France,47.0250364,4.8439377
"Albert Bichot winery ,Chambolle-Musigny, Burgundy, France",2.6409860443834363,Albert Bichot,France,47.133762,4.9477247
"Albert Bichot winery ,Clos de Vougeot, Burgundy, France",3.25531914893617,Albert Bichot,France,47.1750801,4.955768
"Albert Bichot winery ,Clos de la Roche, Burgundy, France",3.1052631578947367,Albert Bichot,France,47.008844,4.797524399999999
"Albert Bichot winery ,Corton, Burgundy, France",1.5957446808510638,Albert Bichot,France,47.0250364,4.8439377
"Albert Bichot winery ,Corton-Charlemagne, Burgundy, France",2.005599104143337,Albert Bichot,France,47.008844,4.797524399999999
"Albert Bichot winery ,Grands-Echezeaux, Burgundy, France",4.052631578947368,Albert Bichot,France,47.17025820000001,4.954158899999999
"Albert Bichot winery ,Vosne-Romanée, Burgundy, France",1.61701519061298,Albert Bichot,France,47.133762,4.9477247
"Alex Gambal winery ,Chambolle-Musigny, Burgundy, France",1.3257618559743236,Alex Gambal,France,47.0224244,4.842102
"Alex Gambal winery ,Charmes-Chambertin, Burgundy, France",2.1052631578947367,Alex Gambal,France,47.0224244,4.842102
"Alex Gambal winery ,Clos de Vougeot, Burgundy, France",1.894736842105263,Alex Gambal,France,47.1750801,4.955768
"Alex Gambal winery ,Latricières-Chambertin, Burgundy, France",2.1052631578947367,Alex Gambal,France,47.0224244,4.842102
"Armand de Brignac winery ,Champagne, Champagne, France",5.186504842251057,Armand de Brignac,France,40.7502185,-74.00466039999999
"Au Pied du Mont Chauve winery ,Corton, Burgundy, France",1.4973690231068404,Au Pied du Mont Chauve,France,47.0772222,4.8497222
"Barons de Rothschild winery ,Champagne, Champagne, France",4.0625,Barons de Rothschild,France,48.9082776,4.0045567
"Belliard Vins Selections winery ,Margaux, Bordeaux, France",1.3736263736263736,Belliard Vins Selections,France,45.0418843,-0.6770459
"Belliard Vins Selections winery ,Pomerol, Bordeaux, France",1.471264367816092,Belliard Vins Selections,France,45.210656,2.7008169
"Belliard Vins Selections winery ,Saint-Émilion, Bordeaux, France",1.25,Belliard Vins Selections,France,44.89438699999999,-0.155729
"Bertrand Ambroise winery ,Corton-Charlemagne, Burgundy, France",2.032258064516129,Bertrand Ambroise,France,47.1125024,4.9346178
"Bouchard Aîné & Fils winery ,Clos de la Roche, Burgundy, France",1.565874343048256,Bouchard Aîné & Fils,France,47.0277167,4.8366764
"Bouchard Père & Fils winery ,Chambertin Clos de Bèze, Burgundy, France",5.989583333333333,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Chapelle-Chambertin, Burgundy, France",2.4193548387096775,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Chevalier-Montrachet, Burgundy, France",3.3669407894736842,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Clos de Vougeot, Burgundy, France",2.1052631578947367,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Corton, Burgundy, France",1.2172379032258065,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Echézeaux, Burgundy, France",4.2105263157894735,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Montrachet, Burgundy, France",7.724489795918367,Bouchard Père & Fils,France,,
