location,metric,winery,country,lat,lon
"Albert Bichot winery ,Chambertin, Burgundy, France",530.0,Albert Bichot,France,47.0250364,4.8439377
"Albert Bichot winery ,Chambolle-Musigny, Burgundy, France",247.5,Albert Bichot,France,47.133762,4.9477247
"Albert Bichot winery ,Clos de Vougeot, Burgundy, France",306.0,Albert Bichot,France,47.1750801,4.955768
"Albert Bichot winery ,Clos de la Roche, Burgundy, France",295.0,Albert Bichot,France,47.008844,4.797524399999999
"Albert Bichot winery ,Corton, Burgundy, France",150.0,Albert Bichot,France,47.0250364,4.8439377
"Albert Bichot winery ,Corton-Charlemagne, Burgundy, France",189.5,Albert Bichot,France,47.008844,4.797524399999999
"Albert Bichot winery ,Grands-Echezeaux, Burgundy, France",385.0,Albert Bichot,France,47.17025820000001,4.954158899999999
"Albert Bichot winery ,Vosne-Romanée, Burgundy, France",152.25,Albert Bichot,France,47.133762,4.9477247
"Alex Gambal winery ,Chambolle-Musigny, Burgundy, France",123.0,Alex Gambal,France,47.0224244,4.842102
"Alex Gambal winery ,Charmes-Chambertin, Burgundy, France",200.0,Alex Gambal,France,47.0224244,4.842102
"Alex Gambal winery ,Clos de Vougeot, Burgundy, France",180.0,Alex Gambal,France,47.1750801,4.955768
"Alex Gambal winery ,Latricières-Chambertin, Burgundy, France",200.0,Alex Gambal,France,47.0224244,4.842102
"Armand de Brignac winery ,Champagne, Champagne, France",468.75,Armand de Brignac,France,40.7502185,-74.00466039999999
"Au Pied du Mont Chauve winery ,Corton, Burgundy, France",140.0,Au Pied du Mont Chauve,France,47.0772222,4.8497222
"Barons de Rothschild winery ,Champagne, Champagne, France",390.0,Barons de Rothschild,France,48.9082776,4.0045567
"Belliard Vins Selections winery ,Margaux, Bordeaux, France",125.0,Belliard Vins Selections,France,45.0418843,-0.6770459
"Belliard Vins Selections winery ,Pomerol, Bordeaux, France",128.0,Belliard Vins Selections,France,45.210656,2.7008169
"Belliard Vins Selections winery ,Saint-Émilion, Bordeaux, France",110.0,Belliard Vins Selections,France,44.89438699999999,-0.155729
"Bertrand Ambroise winery ,Corton-Charlemagne, Burgundy, France",189.0,Bertrand Ambroise,France,47.1125024,4.9346178
"Bouchard Aîné & Fils winery ,Clos de la Roche, Burgundy, France",143.0,Bouchard Aîné & Fils,France,47.0277167,4.8366764
"Bouchard Père & Fils winery ,Chambertin Clos de Bèze, Burgundy, France",575.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Chapelle-Chambertin, Burgundy, France",225.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Chevalier-Montrachet, Burgundy, France",321.5,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Clos de Vougeot, Burgundy, France",200.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Corton, Burgundy, France",115.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Echézeaux, Burgundy, France",400.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Montrachet, Burgundy, France",757.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Nuits-St.-Georges, Burgundy, France",116.0,Bouchard Père & Fils,France,,
"Bouchard Père & Fils winery ,Vosne-Romanée, Burgundy, France",149.75,Bouchard Père & Fils,France,,
"Camille Giroud winery ,Chambertin, Burgundy, France",272.0,Camille Giroud,France,47.0228219,4.845370099999999
"Camille Giroud winery ,Charmes-Chambertin, Burgundy, France",168.0,Camille Giroud,France,47.0228219,4.845370099999999
"Camille Giroud winery ,Corton, Burgundy, France",120.0,Camille Giroud,France,47.0228219,4.845370099999999
"Camille Giroud winery ,Latricières-Chambertin, Burgundy, France",185.0,Camille Giroud,France,47.2085162,4.9638282
"Capitain-Gagnerot winery ,Echézeaux, Burgundy, France",139.0,Capitain-Gagnerot,France,47.0738253,4.8786946
"Chanson Père et Fils winery ,Chambertin Clos de Bèze, Burgundy, France",334.3333333333333,Chanson Père et Fils,France,47.2164131,4.9660175
"Chanson Père et Fils winery ,Charmes-Chambertin, Burgundy, France",248.33333333333334,Chanson Père et Fils,France,47.2164131,4.9660175
"Chanson Père et Fils winery ,Clos de Vougeot, Burgundy, France",196.0,Chanson Père et Fils,France,47.1750801,4.955768
"Chanson Père et Fils winery ,Corton Vergennes, Burgundy, France",203.33333333333334,Chanson Père et Fils,France,47.0717829,4.8663697
"Chanson Père et Fils winery ,Corton, Burgundy, France",175.0,Chanson Père et Fils,France,47.02688879999999,4.837335599999999
"Chanson Père et Fils winery ,Meursault, Burgundy, France",110.75,Chanson Père et Fils,France,47.02688879999999,4.837335599999999
"Chanson Père et Fils winery ,Puligny-Montrachet, Burgundy, France",117.0,Chanson Père et Fils,France,46.94577,4.7524315
"Chanson Père et Fils winery ,Vosne-Romanée, Burgundy, France",145.0,Chanson Père et Fils,France,47.1600699,4.9614229
"Château Angélus winery ,Saint-Émilion, Bordeaux, France",285.0,Château Angélus,France,44.8929964,-0.1716774
"Château Ausone winery ,Saint-Émilion, Bordeaux, France",506.6666666666667,Château Ausone,France,44.8891676,-0.1562095
"Château Beausejour-Duffau-Lagarrosse winery ,Saint-Émilion, Bordeaux, France",180.0,Château Beausejour-Duffau-Lagarrosse,France,44.892256,-0.1645931
"Château Bélair-Monange winery ,Saint-Émilion, Bordeaux, France",230.0,Château Bélair-Monange,France,44.8882451,-0.1607374
"Château Canon winery ,Saint-Émilion, Bordeaux, France",126.66666666666667,Château Canon,France,44.89281039999999,-0.1634136
"Château Certan de May de Certan winery ,Pomerol, Bordeaux, France",120.0,Château Certan de May de Certan,France,44.9269211,-0.1977539
