location,metric,winery,country,lat,lon
"Alain Brumont winery ,Madiran, Southwest France, France",4.0,Alain Brumont,France,43.5684425,-0.0252878
"Alain Jaume et Fils winery ,Côtes du Rhône, Rhône Valley, France",4.0,Alain Jaume et Fils,France,44.1101779,4.820334
"Allimant-Laugner winery ,Alsace, Alsace, France",6.0,Allimant-Laugner,France,48.2416292,7.381201000000001
"André Blanck et ses Fils winery ,Alsace, Alsace, France",4.0,André Blanck et ses Fils,France,48.135617,7.2877018
"André Kientzler winery ,Alsace, Alsace, France",7.0,André Kientzler,France,48.19983430000001,7.339882900000001
"Antoine Moltès & Fils winery ,Alsace, Alsace, France",4.0,Antoine Moltès & Fils,France,47.983338,7.289172000000001
"Bailly-Lapierre winery ,Crémant de Bourgogne, Burgundy, France",5.0,Bailly-Lapierre,France,47.7211584,3.6294727
"Barton & Guestier winery ,Vin de Pays d'Oc, Languedoc-Roussillon, France",4.0,Barton & Guestier,France,36.0704751,-95.9203639
"Boeckel winery ,Alsace, Alsace, France",7.0,Boeckel,France,48.3960993,7.441579399999999
"Bott Frères winery ,Alsace, Alsace, France",6.0,Bott Frères,France,48.1893397,7.325314199999999
"Bougrier winery ,Vin de France, France Other, France",4.0,Bougrier,France,,
"Café du Midi winery ,Vin de France, France Other, France",6.0,Café du Midi,France,,
"Cave de Beblenheim winery ,Alsace, Alsace, France",5.0,Cave de Beblenheim,France,48.15898070000001,7.3268589
"Cave de Cleebourg winery ,Alsace, Alsace, France",6.0,Cave de Cleebourg,France,49.0128715,7.894779400000001
"Cave de Cleebourg winery ,Crémant d'Alsace, Alsace, France",4.0,Cave de Cleebourg,France,49.0128715,7.894779400000001
"Cave de Hunawihr winery ,Alsace, Alsace, France",4.0,Cave de Hunawihr,France,48.1806639,7.312954700000001
"Cave de Kientzheim-Kaysersberg winery ,Alsace, Alsace, France",5.0,Cave de Kientzheim-Kaysersberg,France,48.1386043,7.2645796
"Cave de Ribeauvillé winery ,Alsace, Alsace, France",6.0,Cave de Ribeauvillé,France,48.191907,7.327089000000001
"Cave de Turckheim winery ,Alsace, Alsace, France",6.0,Cave de Turckheim,France,48.0864448,7.265914899999999
"Cave du Marmandais winery ,Côtes du Marmandais, Southwest France, France",7.0,Cave du Marmandais,France,44.4567636,0.0165647
"Charles Sparr winery ,Alsace, Alsace, France",6.0,Charles Sparr,France,48.13355379999999,7.3004416
"Château Beaubois winery ,Costières de Nîmes, Rhône Valley, France",4.0,Château Beaubois,France,43.7979897,4.3833439
"Château Cabezac winery ,Minervois, Languedoc-Roussillon, France",4.0,Château Cabezac,France,43.2967553,2.869953
"Château Laulerie winery ,Bergerac, Southwest France, France",4.0,Château Laulerie,France,44.892056,0.189967
"Château Paradis winery ,Coteaux d'Aix-en-Provence, Provence, France",4.0,Château Paradis,France,43.6293718,5.47985
"Château Rives-Blanques winery ,Limoux, Languedoc-Roussillon, France",4.0,Château Rives-Blanques,France,43.1155509,2.2252893
"Château Routas winery ,Vin de Pays Var, Provence, France",5.0,Château Routas,France,43.498799,5.9857
"Château Sainte Roseline winery ,Côtes de Provence, Provence, France",4.0,Château Sainte Roseline,France,43.473399,6.513860999999999
"Château Tour des Gendres winery ,Côtes de Bergerac, Southwest France, France",4.0,Château Tour des Gendres,France,44.758266,0.483234
"Château d'Arlay winery ,Côtes du Jura, France Other, France",4.0,Château d'Arlay,France,,
"Château d'Aydie winery ,Madiran, Southwest France, France",4.0,Château d'Aydie,France,43.5686384,-0.1188755
"Château de Campuget winery ,Costières de Nîmes, Rhône Valley, France",4.0,Château de Campuget,France,43.8016176,4.5049684
"Château de Lancyre winery ,Coteaux du Languedoc, Languedoc-Roussillon, France",4.0,Château de Lancyre,France,43.8161829,3.8959115
"Château la Mascaronne winery ,Côtes de Provence, Provence, France",4.0,Château la Mascaronne,France,43.4065508,6.3013433
"Clos Alivu winery ,Patrimonio, France Other, France",4.0,Clos Alivu,France,42.706531,9.369553999999999
"Clos Teddi winery ,Patrimonio, France Other, France",5.0,Clos Teddi,France,42.706531,9.369553999999999
"Clos Venturi winery ,Corse, France Other, France",5.0,Clos Venturi,France,42.4716368,9.2070887
"Clos Venturi winery ,Vin de France, France Other, France",4.0,Clos Venturi,France,42.4716368,9.2070887
"Clément Klur winery ,Alsace, Alsace, France",5.0,Clément Klur,France,48.1256468,7.2835128
"Commanderie de la Bargemone winery ,Coteaux d'Aix-en-Provence, Provence, France",5.0,Commanderie de la Bargemone,France,43.6027519,5.3416372
"Dirler-Cadé winery ,Alsace, Alsace, France",4.0,Dirler-Cadé,France,47.91754359999999,7.2480457
"Domaine Albert Mann winery ,Alsace, Alsace, France",4.0,Domaine Albert Mann,France,48.05653900000001,7.298524
"Domaine Barmès-Buecher winery ,Alsace, Alsace, France",7.0,Domaine Barmès-Buecher,France,48.0600053,7.2982596
"Domaine Bott-Geyl winery ,Alsace, Alsace, France",5.0,Domaine Bott-Geyl,France,48.15635940000001,7.328669399999999
"Domaine Charles Baur winery ,Alsace, Alsace, France",8.0,Domaine Charles Baur,France,48.0420953,7.3079521
"Domaine Charles Frey winery ,Alsace, Alsace, France",6.0,Domaine Charles Frey,France,48.3220173,7.447061499999999
"Domaine Chiroulet winery ,Côtes de Gascogne, Southwest France, France",4.0,Domaine Chiroulet,France,43.9926876,0.2861494
"Domaine D'en Ségur winery ,Côtes du Tarn, Southwest France, France",6.0,Domaine D'en Ségur,France,43.7089703,1.7877116
"Domaine Dugois winery ,Arbois, France Other, France",4.0,Domaine Dugois,France,46.9491611,5.7903144
