location,metric,winery,country,lat,lon
"Acinum winery ,Amarone della Valpolicella, Veneto, Italy",93.0,Acinum,Italy,45.5205517,10.8869911
"Aldegheri winery ,Amarone della Valpolicella, Veneto, Italy",94.0,Aldegheri,Italy,45.5153297,10.8347666
"Aldo Conterno winery ,Barolo, Piedmont, Italy",92.83333333333333,Aldo Conterno,Italy,44.6088032,7.9403041
"Allegrini winery ,Amarone della Valpolicella Classico, Veneto, Italy",92.33333333333333,Allegrini,Italy,45.53673930000001,10.9468858
"Altesino winery ,Brunello di Montalcino, Tuscany, Italy",92.23076923076923,Altesino,Italy,43.10219319999999,11.4899236
"Amantis winery ,Brunello di Montalcino, Tuscany, Italy",93.0,Amantis,Italy,43.0551015,11.4890032
"Andrea Oberto winery ,Barolo, Piedmont, Italy",92.75,Andrea Oberto,Italy,44.64799,7.922630000000001
"Antinori winery ,Bolgheri, Tuscany, Italy",93.0,Antinori,Italy,43.2043544,10.612672
"Antinori winery ,Brunello di Montalcino, Tuscany, Italy",93.0,Antinori,Italy,43.0551015,11.4890032
"Antonio Caggiano winery ,Taurasi, Southern Italy, Italy",93.5,Antonio Caggiano,Italy,41.0062315,14.9582193
"Antoniolo winery ,Gattinara, Piedmont, Italy",92.25,Antoniolo,Italy,45.6307206,8.371768
"Anzivino winery ,Gattinara, Piedmont, Italy",93.0,Anzivino,Italy,45.620149,8.371383999999999
"Arnaldo Caprai winery ,Sagrantino di Montefalco, Central Italy, Italy",93.5,Arnaldo Caprai,Italy,42.9201832,12.6442424
"Attilio Ghisolfi winery ,Barolo, Piedmont, Italy",92.66666666666667,Attilio Ghisolfi,Italy,44.5980966,7.966176600000001
"Avignonesi winery ,Vin Santo di Montepulciano, Tuscany, Italy",98.66666666666667,Avignonesi,Italy,43.1735657,11.9332981
"Bava winery ,nan, Piedmont, Italy",93.0,Bava,Italy,45.0846961,8.068000999999999
"Bel Colle winery ,Barolo, Piedmont, Italy",92.18181818181819,Bel Colle,Italy,44.6585859,7.926916599999999
"Bertani winery ,Amarone della Valpolicella Classico, Veneto, Italy",93.2,Bertani,Italy,45.50335099999999,10.9470875
"Biondi Santi winery ,Brunello di Montalcino, Tuscany, Italy",94.66666666666667,Biondi Santi,Italy,43.05586,11.4898673
