location,metric,winery,country,lat,lon
"A-Mano winery ,Puglia, Southern Italy, Italy",0.42954545454545456,A-Mano,Italy,40.7928393,17.1011931
"Agostino Bosco winery ,Barbera d'Alba, Piedmont, Italy",0.36500000000000005,Agostino Bosco,Italy,45.0522366,7.5153885
"Alberto Longo winery ,Cacc’e Mmitte di Lucera, Southern Italy, Italy",0.3666666666666667,Alberto Longo,Italy,41.5157722,15.2849966
"Allegrini winery ,Valpolicella Classico, Veneto, Italy",0.4150252525252525,Allegrini,Italy,45.5399578,10.8768265
"Altadonna winery ,Toscana, Tuscany, Italy",0.35277777777777786,Altadonna,Italy,43.61238480000001,11.1915646
"Altanuta winery ,Valdadige, Veneto, Italy",0.38571428571428573,Altanuta,Italy,45.4414662,12.3152595
"Andrea Felici winery ,Verdicchio dei Castelli di Jesi Classico, Central Italy, Italy",0.3958333333333333,Andrea Felici,Italy,43.41341449999999,13.1081969
"Andrero winery ,Terre Siciliane, Sicily & Sardinia, Italy",0.4000000000000001,Andrero,Italy,37.5999938,14.0153557
"Anna Maria Abbona winery ,Dolcetto di Dogliani Superiore, Piedmont, Italy",0.4107142857142857,Anna Maria Abbona,Italy,44.4870929,7.9569188
"Anna Spinato winery ,Prosecco Treviso, Veneto, Italy",0.3666666666666667,Anna Spinato,Italy,45.7195796,12.4577004
"Anselmi winery ,Delle Venezie, Northeastern Italy, Italy",0.3541666666666667,Anselmi,Italy,45.61030479999999,11.1425311
"Antica Casa Vinicola Scarpa winery ,Barbera d'Asti, Piedmont, Italy",0.3861111111111111,Antica Casa Vinicola Scarpa,Italy,44.7711947,8.3508356
"Antichi Vigneti di Cantalupo winery ,Colline Novaresi, Piedmont, Italy",0.4375000000000001,Antichi Vigneti di Cantalupo,Italy,45.6004209,8.4262261
"Antinori winery ,Toscana, Tuscany, Italy",0.45,Antinori,Italy,43.61238480000001,11.1915646
"Araldica winery ,Gavi, Piedmont, Italy",0.575,Araldica,Italy,44.7211309,8.3832214
"Arbiola winery ,Barbera d'Asti, Piedmont, Italy",0.48,Arbiola,Italy,44.7675432,8.302966999999999
"Astoria winery ,Delle Venezie, Northeastern Italy, Italy",0.39333333333333337,Astoria,Italy,45.8705179,12.253428
"Attilio Ghisolfi winery ,Barbera d'Alba, Piedmont, Italy",0.4916666666666667,Attilio Ghisolfi,Italy,44.5980966,7.966176600000001
"Azienda Agricola Cogno winery ,Dolcetto d'Alba, Piedmont, Italy",0.4583333333333333,Azienda Agricola Cogno,Italy,44.7009153,8.0356911
"Banfi winery ,Italy, Italy Other, Italy",0.42333333333333334,Banfi,Italy,42.980621,11.400659
"Baron di Pauli winery ,Vigneti delle Dolomiti, Northeastern Italy, Italy",0.36250000000000004,Baron di Pauli,Italy,46.420953,11.2520763
"Barone di Villagrande winery ,Sicilia, Sicily & Sardinia, Italy",0.688888888888889,Barone di Villagrande,Italy,37.7138593,15.1191485
"Bava winery ,nan, Piedmont, Italy",0.54,Bava,Italy,45.0846961,8.068000999999999
"Bellini winery ,Toscana, Tuscany, Italy",0.42500000000000004,Bellini,Italy,43.77190400000001,11.508695
"Belpoggio winery ,Rosso di Montalcino, Tuscany, Italy",0.48,Belpoggio,Italy,42.9901081,11.5287652
"Benincasa winery ,Montefalco Rosso, Central Italy, Italy",0.38749999999999996,Benincasa,Italy,42.88929359999999,12.6502843
