location,metric,winery,country,lat,lon
"Abbona Marziano winery ,Barolo, Piedmont, Italy",79.0,Abbona Marziano,Italy,44.552969,7.951918999999999
"Agricola Querciabella winery ,Toscana, Tuscany, Italy",105.0,Agricola Querciabella,Italy,43.5713889,11.3413889
"Agricole Vallone winery ,Salento, Southern Italy, Italy",100.0,Agricole Vallone,Italy,40.5444849,17.9469495
"Aldegheri winery ,Amarone della Valpolicella, Veneto, Italy",220.0,Aldegheri,Italy,45.5153297,10.8347666
"Aldo Conterno winery ,Barolo, Piedmont, Italy",115.0,Aldo Conterno,Italy,44.6088032,7.9403041
"Allegrini winery ,Amarone della Valpolicella Classico, Veneto, Italy",85.0,Allegrini,Italy,45.53673930000001,10.9468858
"Altesino winery ,Brunello di Montalcino, Tuscany, Italy",81.92307692307692,Altesino,Italy,43.10219319999999,11.4899236
"Amantis winery ,Brunello di Montalcino, Tuscany, Italy",85.0,Amantis,Italy,43.0551015,11.4890032
"Andrea Oberto winery ,Barolo, Piedmont, Italy",102.5,Andrea Oberto,Italy,44.64799,7.922630000000001
"Argiano winery ,Brunello di Montalcino, Tuscany, Italy",195.5,Argiano,Italy,42.967171,11.437808
"Argiano winery ,Toscana, Tuscany, Italy",79.07692307692308,Argiano,Italy,42.98484,11.422561
"Arnaldo Caprai winery ,Sagrantino di Montefalco, Central Italy, Italy",80.0,Arnaldo Caprai,Italy,42.9201832,12.6442424
"Attilio Ghisolfi winery ,Barolo, Piedmont, Italy",88.16666666666667,Attilio Ghisolfi,Italy,44.5980966,7.966176600000001
"Avignonesi winery ,Vin Santo di Montepulciano, Tuscany, Italy",205.66666666666666,Avignonesi,Italy,43.1735657,11.9332981
"Avignonesi-Capannelle winery ,Toscana, Tuscany, Italy",155.0,Avignonesi-Capannelle,Italy,43.1735657,11.9332981
"Azelia winery ,Barolo, Piedmont, Italy",78.33333333333333,Azelia,Italy,44.6321266,7.9660236
"Banfi winery ,Brunello di Montalcino, Tuscany, Italy",113.72727272727273,Banfi,Italy,42.980621,11.400659
"Begali winery ,Amarone della Valpolicella, Veneto, Italy",78.0,Begali,Italy,45.49914,10.907376
"Bertani winery ,Amarone della Valpolicella Classico, Veneto, Italy",111.2,Bertani,Italy,45.50335099999999,10.9470875
"Biondi Santi winery ,Brunello di Montalcino, Tuscany, Italy",432.1111111111111,Biondi Santi,Italy,43.05586,11.4898673
"Bolsignano winery ,Brunello di Montalcino, Tuscany, Italy",90.0,Bolsignano,Italy,43.0320169,11.4444461
"Borgogno Giacomo e Figli winery ,Barolo, Piedmont, Italy",85.5,Borgogno Giacomo e Figli,Italy,44.610553,7.9427603
"Borgogno winery ,Barolo, Piedmont, Italy",123.22222222222223,Borgogno,Italy,44.610553,7.9427603
"Boscarelli winery ,Toscana, Tuscany, Italy",98.0,Boscarelli,Italy,43.105494,11.850853
