location,metric,winery,country,lat,lon
"Abbazia Santa Anastasia winery ,Sicilia, Sicily & Sardinia, Italy",6.0,Abbazia Santa Anastasia,Italy,37.9726602,14.0846547
"Abbazia di Novacella winery ,Alto Adige Valle Isarco, Northeastern Italy, Italy",11.0,Abbazia di Novacella,Italy,46.7434227,11.6484098
"Abbazia di Novacella winery ,Alto Adige, Northeastern Italy, Italy",12.0,Abbazia di Novacella,Italy,46.7426932,11.6484637
"Alessandro di Camporeale winery ,Sicilia, Sicily & Sardinia, Italy",5.0,Alessandro di Camporeale,Italy,37.8941226,13.1138329
"Alois Lageder winery ,Alto Adige, Northeastern Italy, Italy",8.0,Alois Lageder,Italy,46.2881958,11.2099521
"Alta Luna winery ,Vigneti delle Dolomiti, Northeastern Italy, Italy",4.0,Alta Luna,Italy,46.4102117,11.8440351
"Andriano winery ,Alto Adige, Northeastern Italy, Italy",11.0,Andriano,Italy,46.520937,11.2313761
"Antica Enotria winery ,Puglia, Southern Italy, Italy",7.0,Antica Enotria,Italy,41.3405361,15.9704747
"Antonutti winery ,Friuli Grave, Northeastern Italy, Italy",4.0,Antonutti,Italy,46.0524475,13.1502305
"Argiolas winery ,Isola dei Nuraghi, Sicily & Sardinia, Italy",5.0,Argiolas,Italy,37.5999938,14.0153557
"Avide winery ,Sicilia, Sicily & Sardinia, Italy",4.0,Avide,Italy,36.9705748,14.6131503
"Baglio del Cristo di Campobello winery ,Sicilia, Sicily & Sardinia, Italy",6.0,Baglio del Cristo di Campobello,Italy,37.22184660000001,13.9187327
"Baglio di Pianetto winery ,Sicilia, Sicily & Sardinia, Italy",7.0,Baglio di Pianetto,Italy,37.9881256,13.349254
"Banfi winery ,Toscana, Tuscany, Italy",5.0,Banfi,Italy,42.980621,11.400659
"Barberani winery ,Umbria, Central Italy, Italy",5.0,Barberani,Italy,42.69722770000001,12.2585152
"Barone di Villagrande winery ,Etna, Sicily & Sardinia, Italy",4.0,Barone di Villagrande,Italy,37.7138593,15.1191485
"Benanti winery ,Etna, Sicily & Sardinia, Italy",4.0,Benanti,Italy,37.6159076,15.0989978
"Benanti winery ,Sicilia, Sicily & Sardinia, Italy",6.0,Benanti,Italy,37.6159076,15.0989978
"Biondi winery ,Etna, Sicily & Sardinia, Italy",4.0,Biondi,Italy,37.6362517,15.0798367
"Bisceglia winery ,Basilicata, Southern Italy, Italy",4.0,Bisceglia,Italy,41.0670848,15.8007097
"Blason winery ,Friuli Isonzo, Northeastern Italy, Italy",4.0,Blason,Italy,45.8939631,13.4896043
"Bonotto delle Tezze winery ,Veneto, Veneto, Italy",5.0,Bonotto delle Tezze,Italy,45.8164098,12.3475809
"Borgo del Tiglio winery ,Collio, Northeastern Italy, Italy",4.0,Borgo del Tiglio,Italy,45.9756581,13.4579314
"Borgo di Colloredo winery ,Terra degli Osci, Southern Italy, Italy",4.0,Borgo di Colloredo,Italy,41.8874809,15.0759153
"Botromagno winery ,Murgia, Southern Italy, Italy",4.0,Botromagno,Italy,40.82180650000001,16.4463189
"Bottega Vinaia winery ,Trentino, Northeastern Italy, Italy",5.0,Bottega Vinaia,Italy,46.0512004,11.1175392
"Bottega winery ,Veneto, Veneto, Italy",4.0,Bottega,Italy,45.4414662,12.3152595
"Bressan winery ,Venezia Giulia, Northeastern Italy, Italy",4.0,Bressan,Italy,45.9047568,13.5161695
"Brugnano winery ,Sicilia, Sicily & Sardinia, Italy",4.0,Brugnano,Italy,38.0630019,13.1012816
"COS winery ,Sicilia, Sicily & Sardinia, Italy",4.0,COS,Italy,37.0296949,14.5226706
"Ca'Ronesca winery ,Collio, Northeastern Italy, Italy",5.0,Ca'Ronesca,Italy,46.031073,13.4789675
"Calatrasi winery ,Sicilia, Sicily & Sardinia, Italy",7.0,Calatrasi,Italy,37.94182,13.16297
"Caldaro winery ,Alto Adige, Northeastern Italy, Italy",9.0,Caldaro,Italy,46.4208679,11.2520982
"Cambria winery ,Sicilia, Sicily & Sardinia, Italy",7.0,Cambria,Italy,38.1094246,15.1043994
"Cantele winery ,Salento, Southern Italy, Italy",5.0,Cantele,Italy,40.4090875,17.96243
"Cantina Cortaccia winery ,Alto Adige, Northeastern Italy, Italy",4.0,Cantina Cortaccia,Italy,46.3048802,11.2198234
"Cantina Produttori Bolzano winery ,Alto Adige, Northeastern Italy, Italy",5.0,Cantina Produttori Bolzano,Italy,46.5014918,11.3122394
"Cantina Produttori Cortaccia winery ,Alto Adige, Northeastern Italy, Italy",5.0,Cantina Produttori Cortaccia,Italy,46.33938269999999,11.2416341
"Cantina Produttori San Michele Appiano winery ,Alto Adige, Northeastern Italy, Italy",9.0,Cantina Produttori San Michele Appiano,Italy,46.4528073,11.269285
"Cantina Terlano winery ,Alto Adige, Northeastern Italy, Italy",11.0,Cantina Terlano,Italy,46.5306691,11.2519441
"Cantina Valle Isarco winery ,Alto Adige Valle Isarco, Northeastern Italy, Italy",4.0,Cantina Valle Isarco,Italy,46.6480894,11.5842165
"Cantina Valle Isarco winery ,Alto Adige, Northeastern Italy, Italy",4.0,Cantina Valle Isarco,Italy,46.6480894,11.5842165
"Cantina del Taburno winery ,Beneventano, Southern Italy, Italy",4.0,Cantina del Taburno,Italy,41.1393381,14.7737095
"Cantine Rallo winery ,Sicilia, Sicily & Sardinia, Italy",5.0,Cantine Rallo,Italy,37.7863098,12.4452494
"Capichera winery ,Isola dei Nuraghi, Sicily & Sardinia, Italy",4.0,Capichera,Italy,37.5999938,14.0153557
"Carpineto winery ,Toscana, Tuscany, Italy",5.0,Carpineto,Italy,43.595557,11.3860055
"Caruso & Minini winery ,Sicilia, Sicily & Sardinia, Italy",8.0,Caruso & Minini,Italy,36.1408689,-95.9742723
"Casale del Giglio winery ,Lazio, Central Italy, Italy",4.0,Casale del Giglio,Italy,41.5122122,12.7455924
"Castel Sallegg winery ,Alto Adige, Northeastern Italy, Italy",5.0,Castel Sallegg,Italy,46.414789,11.239828
"Castelfeder winery ,Alto Adige, Northeastern Italy, Italy",5.0,Castelfeder,Italy,46.3367577,11.3034446
"Castellare di Castellina winery ,Toscana, Tuscany, Italy",4.0,Castellare di Castellina,Italy,43.4647801,11.2693662
"Castello Banfi winery ,Sant'Antimo, Tuscany, Italy",6.0,Castello Banfi,Italy,42.980621,11.400659
"Castello Banfi winery ,Toscana, Tuscany, Italy",6.0,Castello Banfi,Italy,42.980621,11.400659
"Castello Monaci winery ,Salento, Southern Italy, Italy",5.0,Castello Monaci,Italy,40.3888072,17.8795013
"Castello di Spessa winery ,Collio, Northeastern Italy, Italy",5.0,Castello di Spessa,Italy,45.9483688,13.503951
