location,metric,winery,country,lat,lon
"Abadia Retuerta winery ,Sardon de Duero, Northern Spain, Spain",93.0,Abadia Retuerta,Spain,41.6155604,-4.3990635
"Altos del Terral winery ,Ribera del Duero, Northern Spain, Spain",92.33333333333333,Altos del Terral,Spain,41.6718559,-3.687700099999999
"Amador Garcia winery ,Rioja, Northern Spain, Spain",93.0,Amador Garcia,Spain,42.53064270000001,-2.6761932
"Artadi winery ,Rioja, Northern Spain, Spain",92.4,Artadi,Spain,42.547382,-2.576947
"Benjamin de Rothschild & Vega Sicilia SA winery ,Rioja, Northern Spain, Spain",92.8,Benjamin de Rothschild & Vega Sicilia SA,Spain,,
"Bodega del Abad winery ,Bierzo, Northern Spain, Spain",93.0,Bodega del Abad,Spain,42.5631288,-6.716200799999999
"Bodegas Gutiérrez de la Vega winery ,Alicante, Levante, Spain",93.0,Bodegas Gutiérrez de la Vega,Spain,38.7442151,-0.0644172
"Bodegas Hidalgo winery ,Jerez, Andalucia, Spain",93.125,Bodegas Hidalgo,Spain,36.68082,-6.15659
"Bodegas Roda winery ,Rioja, Northern Spain, Spain",92.8,Bodegas Roda,Spain,42.58510099999999,-2.8469189
"Campo Eliseo winery ,Toro, Northern Spain, Spain",95.0,Campo Eliseo,Spain,41.4135633,-4.907782999999999
"Clos Mogador winery ,Priorat, Catalonia, Spain",93.25,Clos Mogador,Spain,41.190386,0.7719621
"Dominio de Atauta winery ,Ribera del Duero, Northern Spain, Spain",92.16666666666667,Dominio de Atauta,Spain,41.5281591,-3.2069582
"Dominio de Berzal winery ,Rioja, Northern Spain, Spain",93.5,Dominio de Berzal,Spain,42.529658,-2.684923
"Emilio Rojo winery ,Ribeiro, Galicia, Spain",93.0,Emilio Rojo,Spain,42.3695975,-8.1261618
"Garmón winery ,Ribera del Duero, Northern Spain, Spain",93.0,Garmón,Spain,41.7820044,-3.6623239
"Hidalgo winery ,Rioja, Northern Spain, Spain",93.0,Hidalgo,Spain,42.2870733,-2.539603
"La Rioja Alta winery ,Rioja, Northern Spain, Spain",92.4,La Rioja Alta,Spain,42.5844855,-2.8466665
"Liberalia winery ,Toro, Northern Spain, Spain",92.33333333333333,Liberalia,Spain,41.5253332,-5.3910247
"Numanthia winery ,Toro, Northern Spain, Spain",92.54545454545455,Numanthia,Spain,41.4515284,-5.4563748
"Paul de Albas winery ,Ribera del Duero, Northern Spain, Spain",94.0,Paul de Albas,Spain,41.7820044,-3.6623239
"Pintia winery ,Toro, Northern Spain, Spain",92.66666666666667,Pintia,Spain,,
"San Vicente winery ,Rioja, Northern Spain, Spain",93.0,San Vicente,Spain,42.5634713,-2.7591312
"Sandeman winery ,Jerez, Andalucia, Spain",92.5,Sandeman,Spain,36.69186200000001,-6.139227
"Sangenís I Vaqué winery ,Priorat, Catalonia, Spain",92.66666666666667,Sangenís I Vaqué,Spain,41.187652,0.8566499999999999
"Terreus winery ,Vino de la Tierra de Castilla y León, Northern Spain, Spain",94.0,Terreus,Spain,41.83568210000001,-4.397635699999999
"Teso La Monja winery ,Toro, Northern Spain, Spain",92.4090909090909,Teso La Monja,Spain,41.455195,-5.446785999999999
"Valquejigoso winery ,Spain, Spain Other, Spain",93.5,Valquejigoso,Spain,40.279278,-4.1565744
"Viñedos de Paganos winery ,Rioja, Northern Spain, Spain",92.9,Viñedos de Paganos,Spain,42.554077,-2.6070524
"Áster winery ,Ribera del Duero, Northern Spain, Spain",93.0,Áster,Spain,41.7820044,-3.6623239
