location,metric,winery,country,lat,lon
"Alegra winery ,Ribera del Duero, Northern Spain, Spain",0.4770833333333333,Alegra,Spain,41.7820044,-3.6623239
"Aloja winery ,Montsant, Catalonia, Spain",0.3666666666666667,Aloja,Spain,41.292953,0.7978029999999999
"Alta Alella winery ,Spain, Spain Other, Spain",0.37083333333333335,Alta Alella,Spain,41.4869959,2.2874842
"Amador Garcia winery ,Rioja, Northern Spain, Spain",0.36851851851851847,Amador Garcia,Spain,42.53064270000001,-2.6761932
"Amathia winery ,Calatayud, Northern Spain, Spain",0.4,Amathia,Spain,41.3531678,-1.6468455
"Bodegas San Isidro winery ,Calatayud, Northern Spain, Spain",0.4222222222222222,Bodegas San Isidro,Spain,41.3531678,-1.6468455
"Bodegas San Prudencio winery ,Rioja, Northern Spain, Spain",0.36041666666666666,Bodegas San Prudencio,Spain,42.5000879,-2.7537982
"Bágoa do Miño winery ,Rías Baixas, Galicia, Spain",0.35587301587301584,Bágoa do Miño,Spain,42.4270967,-8.814226399999999
"Castillo de Jumilla winery ,Jumilla, Levante, Spain",0.5583333333333333,Castillo de Jumilla,Spain,38.4793813,-1.3333637
"Chapillon winery ,Calatayud, Northern Spain, Spain",0.3777777777777777,Chapillon,Spain,41.3544671,-1.650292
"Chapter Capítulo 8 winery ,Almansa, Central Spain, Spain",0.3611111111111111,Chapter Capítulo 8,Spain,38.8702789,-1.0993366
"Cims de Porrera winery ,Priorat, Catalonia, Spain",0.3733333333333333,Cims de Porrera,Spain,41.1868253,0.8552401
"Corolilla winery ,Utiel-Requena, Levante, Spain",0.4,Corolilla,Spain,39.550935,-1.178598
"Dominio Buenavista winery ,Vino de la Tierra Contraviesa Alpujarra, Andalucia, Spain",0.4333333333333333,Dominio Buenavista,Spain,36.880581,-3.185691
"El Arte de Vivir winery ,Ribera del Duero, Northern Spain, Spain",0.4351190476190476,El Arte de Vivir,Spain,41.6430702,-4.1509557
"Emilio Rojo winery ,Ribeiro, Galicia, Spain",0.3802083333333333,Emilio Rojo,Spain,42.3695975,-8.1261618
"Evodia winery ,Calatayud, Northern Spain, Spain",0.39999999999999997,Evodia,Spain,41.3531678,-1.6468455
"Finca El Paso winery ,Jumilla, Levante, Spain",0.3666666666666667,Finca El Paso,Spain,38.4763532,-1.3221865
"L'Arboc winery ,Cava, Catalonia, Spain",0.4800000000000001,L'Arboc,Spain,41.2726145,1.5950115
"Lorca winery ,Bullas, Levante, Spain",0.5,Lorca,Spain,38.0433449,-1.6736397
"Magnífico winery ,Cariñena, Northern Spain, Spain",0.425,Magnífico,Spain,41.3370805,-1.2241497
"Marques de Monistrol winery ,Cava, Catalonia, Spain",0.37052083333333335,Marques de Monistrol,Spain,41.4467988,1.7858497
"Martinez Bujanda winery ,Rioja, Northern Spain, Spain",0.3738095238095238,Martinez Bujanda,Spain,42.49563910000001,-2.6081773
"Merum winery ,Vinos de Madrid, Central Spain, Spain",0.384375,Merum,Spain,40.4167515,-3.7038322
"Montsarra winery ,Penedès, Catalonia, Spain",0.5178571428571429,Montsarra,Spain,41.3312228,1.6769057
"Oferente winery ,Jumilla, Levante, Spain",0.36374999999999996,Oferente,Spain,38.4763532,-1.3221865
"Paul de Albas winery ,Ribera del Duero, Northern Spain, Spain",0.4202380952380952,Paul de Albas,Spain,41.7820044,-3.6623239
"Quinta da Muradella winery ,Monterrei, Galicia, Spain",0.4333333333333333,Quinta da Muradella,Spain,41.9409965,-7.432769500000001
"Sedosa winery ,Vino de la Tierra de Castilla, Central Spain, Spain",0.36190476190476195,Sedosa,Spain,41.6524636,-0.8806854
"Silvae winery ,Spain, Spain Other, Spain",0.425,Silvae,Spain,,
"Valdetan winery ,Cigales, Northern Spain, Spain",0.3763888888888889,Valdetan,Spain,41.7580541,-4.698011699999999
"Vallemon de Sardilici winery ,Ribera del Duero, Northern Spain, Spain",0.5,Vallemon de Sardilici,Spain,41.7820044,-3.6623239
"Valtosca winery ,Jumilla, Levante, Spain",0.3925170068027211,Valtosca,Spain,38.4784418,-1.323895
"Vega Escal winery ,Priorat, Catalonia, Spain",0.3866666666666667,Vega Escal,Spain,41.2484605,0.811727
