location,metric,winery,country,lat,lon
"Agustí Torelló winery ,Cava, Catalonia, Spain",1.1026570048309179,Agustí Torelló,Spain,41.5911589,1.5208624
"Alion winery ,Ribera del Duero, Northern Spain, Spain",1.0894599336043937,Alion,Spain,41.6128956,-4.172369199999999
"Alonso del Yerro winery ,Ribera del Duero, Northern Spain, Spain",1.146067415730337,Alonso del Yerro,Spain,41.72429109999999,-3.9303977
"Altos del Terral winery ,Ribera del Duero, Northern Spain, Spain",1.118123733832009,Altos del Terral,Spain,41.6718559,-3.687700099999999
"Artadi winery ,Rioja, Northern Spain, Spain",1.3263654239898959,Artadi,Spain,42.547382,-2.576947
"Benjamin Romeo winery ,Rioja, Northern Spain, Spain",1.0980950024740228,Benjamin Romeo,Spain,42.2870733,-2.539603
"Bodegas Hidalgo winery ,Jerez, Andalucia, Spain",1.4750325436476213,Bodegas Hidalgo,Spain,36.68082,-6.15659
"Bodegas Roda winery ,Rioja, Northern Spain, Spain",1.457614422329551,Bodegas Roda,Spain,42.58510099999999,-2.8469189
"Bodegas Vínícola Real winery ,Rioja, Northern Spain, Spain",1.0664335664335665,Bodegas Vínícola Real,Spain,42.3539509,-2.4757012
"Campo Eliseo winery ,Toro, Northern Spain, Spain",0.9736842105263157,Campo Eliseo,Spain,41.4135633,-4.907782999999999
"Comando-G winery ,Vino de la Tierra de Castilla y León, Northern Spain, Spain",0.9935897435897436,Comando-G,Spain,40.3013014,-4.443775599999999
"Contino winery ,Rioja, Northern Spain, Spain",1.1177122237980253,Contino,Spain,42.4963567,-2.508398
"Costers del Siurana winery ,Priorat, Catalonia, Spain",0.9539345063538611,Costers del Siurana,Spain,41.190395,0.772439
"Dos Victorias winery ,Toro, Northern Spain, Spain",1.5714285714285714,Dos Victorias,Spain,41.5253332,-5.3910247
"El Nido winery ,Jumilla, Levante, Spain",0.9979695889777421,El Nido,Spain,38.4906462,-1.3443721
"Emilio Moro winery ,Ribera del Duero, Northern Spain, Spain",1.1496540989774446,Emilio Moro,Spain,41.6430702,-4.1509557
"Espectacle winery ,Montsant, Catalonia, Spain",1.6049382716049383,Espectacle,Spain,41.5911589,1.5208624
"Finca Allende winery ,Rioja, Northern Spain, Spain",0.9770463254117231,Finca Allende,Spain,42.543473,-2.7875834
"García Figuero winery ,Ribera del Duero, Northern Spain, Spain",1.1985094923665622,García Figuero,Spain,41.729391,-3.8844131
"Gratallops winery ,Priorat, Catalonia, Spain",1.4606741573033708,Gratallops,Spain,41.192995,0.7776909999999999
"Joan Simó winery ,Priorat, Catalonia, Spain",1.326086956521739,Joan Simó,Spain,41.1883796,0.8562788
"L'Arbossar winery ,Priorat, Catalonia, Spain",1.2727272727272727,L'Arbossar,Spain,41.2122716,0.811823
"Lamin winery ,Calatayud, Northern Spain, Spain",1.0588235294117647,Lamin,Spain,41.3531678,-1.6468455
"Marco Abella winery ,Priorat, Catalonia, Spain",1.3468535348743742,Marco Abella,Spain,41.195322,0.8586516
"Paul de Albas winery ,Ribera del Duero, Northern Spain, Spain",0.9574468085106383,Paul de Albas,Spain,41.7820044,-3.6623239
"Raúl Pérez winery ,Bierzo, Northern Spain, Spain",0.9624450415241816,Raúl Pérez,Spain,42.60112549999999,-6.7613965
"Raúl Pérez winery ,Ribeira Sacra, Galicia, Spain",1.146067415730337,Raúl Pérez,Spain,42.5750554,-8.1338558
"Señorío de Caleruega winery ,Ribera del Duero, Northern Spain, Spain",1.0909090909090908,Señorío de Caleruega,Spain,41.8253478,-3.4858183
"Terreus winery ,Vino de la Tierra de Castilla y León, Northern Spain, Spain",1.5957446808510638,Terreus,Spain,41.83568210000001,-4.397635699999999
"Terroir Al Límit winery ,Priorat, Catalonia, Spain",1.105097130060914,Terroir Al Límit,Spain,41.2122716,0.811823
"Teso La Monja winery ,Toro, Northern Spain, Spain",0.9705079825733874,Teso La Monja,Spain,41.455195,-5.446785999999999
"Torres winery ,Conca de Barberà, Catalonia, Spain",0.9561281958908546,Torres,Spain,41.4445243,1.2459452
"Vega Sicilia winery ,Ribera del Duero, Northern Spain, Spain",3.619486932563135,Vega Sicilia,Spain,41.708948,-3.973402
"Viñedos de Paganos winery ,Rioja, Northern Spain, Spain",1.1534160321380622,Viñedos de Paganos,Spain,42.554077,-2.6070524
