location,metric,winery,country,lat,lon
"Agustí Torelló winery ,Cava, Catalonia, Spain",100.5,Agustí Torelló,Spain,41.5911589,1.5208624
"Alion winery ,Ribera del Duero, Northern Spain, Spain",99.5,Alion,Spain,41.6128956,-4.172369199999999
"Alonso del Yerro winery ,Ribera del Duero, Northern Spain, Spain",102.0,Alonso del Yerro,Spain,41.72429109999999,-3.9303977
"Altos del Terral winery ,Ribera del Duero, Northern Spain, Spain",103.33333333333333,Altos del Terral,Spain,41.6718559,-3.687700099999999
"Artadi winery ,Rioja, Northern Spain, Spain",123.86666666666666,Artadi,Spain,42.547382,-2.576947
"Benjamin Romeo winery ,Rioja, Northern Spain, Spain",101.5,Benjamin Romeo,Spain,42.2870733,-2.539603
"Bodegas Hidalgo winery ,Jerez, Andalucia, Spain",137.375,Bodegas Hidalgo,Spain,36.68082,-6.15659
"Bodegas Roda winery ,Rioja, Northern Spain, Spain",138.8,Bodegas Roda,Spain,42.58510099999999,-2.8469189
"Bodegas Vínícola Real winery ,Rioja, Northern Spain, Spain",95.0,Bodegas Vínícola Real,Spain,42.3539509,-2.4757012
"Campo Eliseo winery ,Toro, Northern Spain, Spain",92.5,Campo Eliseo,Spain,41.4135633,-4.907782999999999
"Comando-G winery ,Vino de la Tierra de Castilla y León, Northern Spain, Spain",90.0,Comando-G,Spain,40.3013014,-4.443775599999999
"Contino winery ,Rioja, Northern Spain, Spain",100.64285714285714,Contino,Spain,42.4963567,-2.508398
"Costers del Siurana winery ,Priorat, Catalonia, Spain",86.5,Costers del Siurana,Spain,41.190395,0.772439
"Dos Victorias winery ,Toro, Northern Spain, Spain",143.0,Dos Victorias,Spain,41.5253332,-5.3910247
"El Nido winery ,Jumilla, Levante, Spain",90.0,El Nido,Spain,38.4906462,-1.3443721
"Emilio Moro winery ,Ribera del Duero, Northern Spain, Spain",108.16666666666667,Emilio Moro,Spain,41.6430702,-4.1509557
"Espectacle winery ,Montsant, Catalonia, Spain",130.0,Espectacle,Spain,41.5911589,1.5208624
"Finca Allende winery ,Rioja, Northern Spain, Spain",90.44444444444444,Finca Allende,Spain,42.543473,-2.7875834
"García Figuero winery ,Ribera del Duero, Northern Spain, Spain",111.62962962962963,García Figuero,Spain,41.729391,-3.8844131
"Gratallops winery ,Priorat, Catalonia, Spain",130.0,Gratallops,Spain,41.192995,0.7776909999999999
"Joan Simó winery ,Priorat, Catalonia, Spain",122.0,Joan Simó,Spain,41.1883796,0.8562788
"L'Arbossar winery ,Priorat, Catalonia, Spain",112.0,L'Arbossar,Spain,41.2122716,0.811823
"Lamin winery ,Calatayud, Northern Spain, Spain",90.0,Lamin,Spain,41.3531678,-1.6468455
"Marco Abella winery ,Priorat, Catalonia, Spain",124.0,Marco Abella,Spain,41.195322,0.8586516
"Paul de Albas winery ,Ribera del Duero, Northern Spain, Spain",90.0,Paul de Albas,Spain,41.7820044,-3.6623239
"Raúl Pérez winery ,Bierzo, Northern Spain, Spain",87.5,Raúl Pérez,Spain,42.60112549999999,-6.7613965
"Raúl Pérez winery ,Ribeira Sacra, Galicia, Spain",102.0,Raúl Pérez,Spain,42.5750554,-8.1338558
"Señorío de Caleruega winery ,Ribera del Duero, Northern Spain, Spain",96.0,Señorío de Caleruega,Spain,41.8253478,-3.4858183
"Terreus winery ,Vino de la Tierra de Castilla y León, Northern Spain, Spain",150.0,Terreus,Spain,41.83568210000001,-4.397635699999999
"Terroir Al Límit winery ,Priorat, Catalonia, Spain",103.18181818181819,Terroir Al Límit,Spain,41.2122716,0.811823
"Teso La Monja winery ,Toro, Northern Spain, Spain",90.9090909090909,Teso La Monja,Spain,41.455195,-5.446785999999999
"Torres winery ,Conca de Barberà, Catalonia, Spain",86.1,Torres,Spain,41.4445243,1.2459452
"Vega Sicilia winery ,Ribera del Duero, Northern Spain, Spain",329.8181818181818,Vega Sicilia,Spain,41.708948,-3.973402
"Viñedos de Paganos winery ,Rioja, Northern Spain, Spain",107.1,Viñedos de Paganos,Spain,42.554077,-2.6070524
