location,metric,winery,country,lat,lon
"Abadia Retuerta winery ,Vino de la Tierra de Castilla y León, Northern Spain, Spain",8.0,Abadia Retuerta,Spain,41.61635100000001,-4.410638
"Baron De Ley winery ,Rioja, Northern Spain, Spain",7.0,Baron De Ley,Spain,42.421982,-2.161403
"Bocopa winery ,Alicante, Levante, Spain",10.0,Bocopa,Spain,38.503774,-0.7916116000000001
"Bodegas Muriel winery ,Rioja, Northern Spain, Spain",7.0,Bodegas Muriel,Spain,42.515586,-2.616349
"Bodegas Paniza winery ,Cariñena, Northern Spain, Spain",9.0,Bodegas Paniza,Spain,41.2854003,-1.2160223
"Bodegas Valdemar winery ,Rioja, Northern Spain, Spain",12.0,Bodegas Valdemar,Spain,42.4988843,-2.4393149
"Borsao winery ,Campo de Borja, Northern Spain, Spain",7.0,Borsao,Spain,41.8311685,-1.443469
"Castillo de Monjardin winery ,Navarra, Northern Spain, Spain",7.0,Castillo de Monjardin,Spain,42.6280782,-2.1022456
"Coto de Hayas winery ,Campo de Borja, Northern Spain, Spain",9.0,Coto de Hayas,Spain,41.8311685,-1.443469
"Dinastía Vivanco winery ,Rioja, Northern Spain, Spain",9.0,Dinastía Vivanco,Spain,42.539426,-2.777571
"El Coto winery ,Rioja, Northern Spain, Spain",7.0,El Coto,Spain,42.49587229999999,-2.4403973
"Enate winery ,Somontano, Northern Spain, Spain",8.0,Enate,Spain,42.1018718,0.0857009
"Marques de Griñon winery ,Dominio de Valdepusa, Central Spain, Spain",7.0,Marques de Griñon,Spain,,
"Marqués de Cáceres winery ,Rioja, Northern Spain, Spain",8.0,Marqués de Cáceres,Spain,42.4801323,-2.6363289
"Ochoa winery ,Navarra, Northern Spain, Spain",9.0,Ochoa,Spain,42.4851701,-1.6562621
"Pradorey winery ,Ribera del Duero, Northern Spain, Spain",7.0,Pradorey,Spain,41.7007585,-3.7948874
"Príncipe de Viana winery ,Navarra, Northern Spain, Spain",8.0,Príncipe de Viana,Spain,42.0360445,-1.649057
"Rafael Cambra winery ,Valencia, Levante, Spain",8.0,Rafael Cambra,Spain,39.473752,-0.35298
"Torres winery ,Catalunya, Catalonia, Spain",7.0,Torres,Spain,41.3449072,1.7041885
"Torres winery ,Penedès, Catalonia, Spain",7.0,Torres,Spain,41.3449072,1.7041885
"Vega Sindoa winery ,Navarra, Northern Spain, Spain",8.0,Vega Sindoa,Spain,42.6552938,-1.7126986
"Vicente Gandia winery ,Valencia, Levante, Spain",7.0,Vicente Gandia,Spain,39.4699075,-0.3762881
