location,metric,winery,country,lat,lon
"Aleksander winery ,Paso Robles, California, US",94.5,Aleksander,US,35.529782,-120.548639
"Alpha Omega winery ,Atlas Peak, California, US",95.5,Alpha Omega,US,38.4705541,-122.4289289
"Alpha Omega winery ,St. Helena, California, US",98.0,Alpha Omega,US,38.4705541,-122.4289289
"Amuse Bouche winery ,Napa Valley, California, US",95.0,Amuse Bouche,US,38.3003882,-122.2860389
"Araujo winery ,Napa Valley, California, US",98.0,Araujo,US,38.5844674,-122.5545539
"Arcadian winery ,Santa Maria Valley, California, US",95.0,Arcadian,US,36.778261,-119.4179324
"Arista winery ,Anderson Valley, California, US",94.25,Arista,US,39.0865657,-123.4794542
"Arkenstone winery ,Howell Mountain, California, US",95.33333333333333,Arkenstone,US,38.5646603,-122.4646834
"Au Sommet winery ,Atlas Peak, California, US",95.5,Au Sommet,US,38.443154,-122.24487
"B Cellars winery ,St. Helena, California, US",94.5,B Cellars,US,38.4501335,-122.3750212
"Big Basin winery ,Ben Lomond Mountain, California, US",95.0,Big Basin,US,37.1818856,-122.1598573
"Black Coyote winery ,Atlas Peak, California, US",97.0,Black Coyote,US,38.31951,-122.22671
"Blue Farm winery ,Russian River Valley, California, US",94.5,Blue Farm,US,38.4836416,-122.8175328
"Bryant Family winery ,Napa Valley, California, US",96.0,Bryant Family,US,38.4832616,-122.3553808
"Cardinale winery ,Mount Veeder, California, US",95.0,Cardinale,US,38.4308544,-122.3884286
"Cardinale winery ,Napa Valley, California, US",96.25,Cardinale,US,38.4308544,-122.3884286
"Celani Family Vineyards winery ,Napa Valley, California, US",96.0,Celani Family Vineyards,US,38.3344227,-122.2930106
"Chateau Ste. Michelle & Dr. Loosen winery ,Columbia Gorge (WA), Washington, US",95.0,Chateau Ste. Michelle & Dr. Loosen,US,47.7298044,-122.1493133
"Colgin winery ,Napa Valley, California, US",96.0,Colgin,US,38.4718227,-122.3480127
"Conn Creek winery ,Atlas Peak, California, US",96.0,Conn Creek,US,38.4862203,-122.4048709
"Continuum winery ,Napa Valley, California, US",97.0,Continuum,US,38.467257,-122.328257
"Copain Wines winery ,Anderson Valley, California, US",95.0,Copain Wines,US,38.5187909,-122.8508441
"Cordant winery ,Santa Maria Valley, California, US",95.0,Cordant,US,35.5742572,-120.6974503
"Creō winery ,Chalk Hill, California, US",94.5,Creō,US,38.5682227,-122.7710031
"Crown Point winery ,Happy Canyon of Santa Barbara, California, US",95.5,Crown Point,US,34.6299687,-120.0150867
"D'Alfonso-Curran winery ,Santa Barbara County, California, US",96.0,D'Alfonso-Curran,US,34.607646,-120.351936
"DAOU winery ,Adelaida District, California, US",95.0,DAOU,US,35.6412775,-120.7843305
"Dalla Valle winery ,Napa Valley, California, US",95.0,Dalla Valle,US,38.456269,-122.3589608
"Devil Proof winery ,Alexander Valley, California, US",94.33333333333333,Devil Proof,US,38.5834056,-122.8464463
"Diamond Creek winery ,Diamond Mountain District, California, US",94.375,Diamond Creek,US,38.562105,-122.580042
"Dolce winery ,Napa Valley, California, US",95.5,Dolce,US,38.4257691,-122.4032493
"Donelan winery ,Sonoma Valley, California, US",97.0,Donelan,US,38.4718027,-122.7435125
"Galerie winery ,Spring Mountain District, California, US",94.5,Galerie,US,38.50707,-122.4919008
"Gandona winery ,Napa Valley, California, US",97.0,Gandona,US,38.4770268,-122.3460248
"Gary Farrell winery ,Sonoma Valley, California, US",95.0,Gary Farrell,US,38.5073594,-122.8973961
"Girard winery ,Diamond Mountain District, California, US",95.0,Girard,US,38.4064011,-122.3672288
"Hall winery ,Rutherford, California, US",95.5,Hall,US,38.4894431,-122.4528165
"Harlan Estate winery ,Napa Valley, California, US",95.0,Harlan Estate,US,38.41489019999999,-122.4076277
"Hartford Court winery ,Green Valley, California, US",95.0,Hartford Court,US,34.6216542,-118.4139702
"Hartford Court winery ,Sonoma Coast, California, US",94.16666666666667,Hartford Court,US,38.611085,-122.870912
"Holus Bolus winery ,Sta. Rita Hills, California, US",95.0,Holus Bolus,US,34.6426293,-120.4395248
"Hoopes winery ,Oakville, California, US",95.0,Hoopes,US,38.3910084,-122.3465121
"Hors Categorie winery ,Walla Walla Valley (OR), Oregon, US",96.0,Hors Categorie,US,43.8041334,-120.5542012
"Horsepower winery ,Walla Walla Valley (OR), Oregon, US",94.4,Horsepower,US,46.067169,-118.338774
"Horsepower winery ,Walla Walla Valley (WA), Washington, US",95.66666666666667,Horsepower,US,46.067169,-118.338774
"Janzen winery ,Oakville, California, US",94.5,Janzen,US,38.4366996,-122.402785
"K Vintners winery ,Snipes Mountain, Washington, US",94.5,K Vintners,US,46.0854763,-118.2503954
"Ken Wright winery ,Ribbon Ridge, Oregon, US",96.0,Ken Wright,US,45.2944564,-123.1768455
"Kendall-Jackson winery ,Knights Valley, California, US",94.75,Kendall-Jackson,US,38.50697479999999,-122.7729337
"Laird winery ,Yountville, California, US",96.0,Laird,US,38.3538917,-122.3349083
"Lewis winery ,Napa Valley, California, US",96.0,Lewis,US,38.3520586,-122.3083918
"Macauley winery ,Alexander Valley, California, US",96.0,Macauley,US,38.5052429,-122.4703868
"Macauley winery ,Oakville, California, US",97.0,Macauley,US,38.5052429,-122.4703868
"Maison Bleue winery ,Snipes Mountain, Washington, US",94.75,Maison Bleue,US,46.0674441,-118.3398067
"Metzker Family Estates winery ,Russian River Valley, California, US",95.0,Metzker Family Estates,US,,
"Mirror winery ,Howell Mountain, California, US",94.5,Mirror,US,38.5055757,-122.4715644
"Mithra winery ,Mount Veeder, California, US",94.5,Mithra,US,38.390851,-122.439359
"Montagna winery ,Napa Valley, California, US",94.66666666666667,Montagna,US,38.4676094,-122.348846
"Nickel & Nickel winery ,Yountville, California, US",94.25,Nickel & Nickel,US,39.7460643,-104.9985244
"Nicolaysen Family Vineyards winery ,Santa Barbara County, California, US",95.0,Nicolaysen Family Vineyards,US,34.4204186,-119.6995799
"Ovid winery ,Napa Valley, California, US",97.0,Ovid,US,38.461053,-122.343615
"Paix Sur Terre winery ,North Coast, California, US",95.0,Paix Sur Terre,US,35.5647999,-120.7828605
