location,metric,winery,country,lat,lon
"18401 Cellars winery ,Walla Walla Valley (OR), Oregon, US",0.65,18401 Cellars,US,43.8041334,-120.5542012
"786 Wines winery ,California, California, US",0.522790404040404,786 Wines,US,36.778261,-119.4179324
"Adelaida winery ,Sta. Rita Hills, California, US",0.4864583333333333,Adelaida,US,35.645236,-120.802497
"Alderbrook winery ,Sonoma County, California, US",0.4916666666666667,Alderbrook,US,38.6043977,-122.8726628
"Alexandria Nicole winery ,Columbia Valley (WA), Washington, US",0.5045833333333334,Alexandria Nicole,US,46.2188788,-119.7287426
"American Roots winery ,Monterey, California, US",0.4936507936507937,American Roots,US,36.6002378,-121.8946761
"Amphora winery ,Sonoma Coast, California, US",0.6366161616161615,Amphora,US,38.6726354,-122.9341529
"Ancestry winery ,Columbia Gorge (WA), Washington, US",0.47916666666666663,Ancestry,US,45.7154257,-121.293408
"Andis winery ,Shenandoah Valley (CA), California, US",0.475,Andis,US,38.5214988,-120.8182701
"Angeline winery ,Sonoma-Mendocino, California, US",0.5083333333333333,Angeline,US,38.291859,-122.4580356
"Angelo Cellars winery ,Coombsville, California, US",0.85,Angelo Cellars,US,38.565901,-122.5622311
"Arizona Stronghold winery ,Cochise County, Arizona, US",0.7000000000000001,Arizona Stronghold,US,32.0604986,-109.9553553
"Armanino Family Cellars winery ,Santa Lucia Highlands, California, US",0.6071428571428571,Armanino Family Cellars,US,36.4307709,-121.4203754
"Array winery ,Washington, Washington, US",0.47500000000000003,Array,US,46.0567213,-118.5827991
"Aubichon Cellars winery ,Dundee Hills, Oregon, US",0.5,Aubichon Cellars,US,45.2725028,-123.0161155
"Austin Hope winery ,Central Coast, California, US",0.475,Austin Hope,US,35.5890723,-120.7213059
"Ballard Lane winery ,Paso Robles, California, US",0.5145833333333333,Ballard Lane,US,35.6125317,-120.6374607
"Bar Dog winery ,California, California, US",0.4666666666666666,Bar Dog,US,34.5963188,-120.1439096
