location,metric,winery,country,lat,lon
"14 Hands winery ,Horse Heaven Hills, Washington, US",15.0,14 Hands,US,46.2112241,-119.7465236
"3 Horse Ranch Vineyards winery ,nan, Idaho, US",11.0,3 Horse Ranch Vineyards,US,43.8359335,-116.4001215
"Abacela winery ,Southern Oregon, Oregon, US",10.0,Abacela,US,43.1269652,-123.4474946
"Abacela winery ,Umpqua Valley, Oregon, US",16.0,Abacela,US,43.1269652,-123.4474946
"Adelaida winery ,Paso Robles, California, US",11.0,Adelaida,US,35.645236,-120.802497
"Airfield Estates winery ,Yakima Valley, Washington, US",19.0,Airfield Estates,US,46.2204505,-119.7769837
"Alexandria Nicole winery ,Horse Heaven Hills, Washington, US",18.0,Alexandria Nicole,US,46.2188788,-119.7287426
"Anthony Nappa winery ,North Fork of Long Island, New York, US",12.0,Anthony Nappa,US,41.0468243,-72.4617987
"Ascension Cellars winery ,Paso Robles, California, US",11.0,Ascension Cellars,US,35.621667,-120.6877848
"Atwater winery ,Finger Lakes, New York, US",15.0,Atwater,US,42.47848210000001,-76.869326
"Baiocchi Wines winery ,Fair Play, California, US",10.0,Baiocchi Wines,US,38.598937,-120.707081
"Barefoot winery ,California, California, US",11.0,Barefoot,US,35.55249999999999,-120.4893988
"Barnard Griffin winery ,Columbia Valley (WA), Washington, US",14.0,Barnard Griffin,US,46.2547276,-119.2989596
"Bedell winery ,North Fork of Long Island, New York, US",14.0,Bedell,US,41.0292393,-72.4689789
"Bergevin Lane winery ,Columbia Valley (WA), Washington, US",10.0,Bergevin Lane,US,46.0687036,-118.3380734
"Billsboro winery ,Finger Lakes, New York, US",10.0,Billsboro,US,42.7985969,-76.9793159
"Boeger winery ,El Dorado, California, US",15.0,Boeger,US,38.7427956,-120.7747328
"Bogati winery ,Virginia, Virginia, US",11.0,Bogati,US,39.1276856,-77.7873422
"Bonterra winery ,Mendocino County, California, US",11.0,Bonterra,US,39.040203,-123.1852984
"Bota Box winery ,California, California, US",11.0,Bota Box,US,37.8403398,-121.2053963
"Brander winery ,Santa Ynez Valley, California, US",10.0,Brander,US,34.6573086,-120.0983387
"Broken Earth winery ,Paso Robles, California, US",10.0,Broken Earth,US,35.5918578,-120.6940998
"Browne Family Vineyards winery ,Columbia Valley (WA), Washington, US",12.0,Browne Family Vineyards,US,47.5988068,-122.3344189
"Brutocao winery ,Mendocino, California, US",11.0,Brutocao,US,38.971171,-123.1169222
"Calcareous winery ,Paso Robles, California, US",16.0,Calcareous,US,35.6266248,-120.7521032
"Cass winery ,Paso Robles, California, US",10.0,Cass,US,35.5977089,-120.5649533
"Castello di Borghese winery ,North Fork of Long Island, New York, US",10.0,Castello di Borghese,US,41.017402,-72.50649480000001
"Castoro Cellars winery ,Paso Robles, California, US",10.0,Castoro Cellars,US,35.5772607,-120.722921
"Cathedral Ridge winery ,Columbia Valley (OR), Oregon, US",10.0,Cathedral Ridge,US,45.7008333,-121.5622222
"Cave B winery ,Columbia Valley (WA), Washington, US",14.0,Cave B,US,47.0964885,-119.9948491
"Cayuse winery ,Walla Walla Valley (OR), Oregon, US",11.0,Cayuse,US,46.067169,-118.338774
"Chalk Hill winery ,Chalk Hill, California, US",12.0,Chalk Hill,US,38.5682227,-122.7710031
"Chateau Lafayette Reneau winery ,Finger Lakes, New York, US",11.0,Chateau Lafayette Reneau,US,42.4794231,-76.87088229999999
"Chateau Morrisette winery ,Virginia, Virginia, US",12.0,Chateau Morrisette,US,36.793824,-80.39546790000001
"Chateau Ste. Michelle winery ,Columbia Valley (WA), Washington, US",13.0,Chateau Ste. Michelle,US,47.7298044,-122.1493133
