,country,Variety,Points,Price
0,Argentina,Barbera,85.0,18.0
1,Argentina,Bonarda,86.5047619047619,16.62857142857143
2,Argentina,Bordeaux-style Red Blend,89.82022471910112,41.54651162790697
3,Argentina,Bordeaux-style White Blend,83.0,14.0
4,Argentina,Cabernet Blend,88.25,36.25
5,Argentina,Cabernet Franc,89.421875,45.109375
6,Argentina,Cabernet Franc-Cabernet Sauvignon,88.66666666666667,40.666666666666664
7,Argentina,Cabernet Franc-Malbec,91.0,58.5
8,Argentina,Cabernet Sauvignon,86.04814814814814,19.488805970149254
9,Argentina,Cabernet Sauvignon-Cabernet Franc,84.0,18.0
10,Argentina,Cabernet Sauvignon-Malbec,86.91666666666667,44.583333333333336
11,Argentina,Cabernet Sauvignon-Merlot,87.0,19.0
12,Argentina,Cabernet Sauvignon-Shiraz,85.33333333333333,10.0
13,Argentina,Cabernet Sauvignon-Syrah,86.0,15.0
14,Argentina,Cabernet-Malbec,86.0,11.0
15,Argentina,Cabernet-Syrah,88.0,16.0
16,Argentina,Champagne Blend,85.125,22.571428571428573
17,Argentina,Chardonnay,84.9457627118644,17.453287197231834
18,Argentina,Chardonnay-Sauvignon,84.5,12.5
19,Argentina,Chardonnay-Semillon,81.0,13.0
20,Argentina,Chardonnay-Viognier,85.16666666666667,16.666666666666668
21,Argentina,Chenin Blanc,84.0,15.5
22,Argentina,Chenin Blanc-Chardonnay,85.8,11.0
23,Argentina,Gewürztraminer,84.0,25.0
24,Argentina,Malbec,87.50331125827815,27.95797198132088
25,Argentina,Malbec Blend,90.5,66.5
26,Argentina,Malbec-Bonarda,86.4,17.8
27,Argentina,Malbec-Cabernet,91.66666666666667,113.33333333333333
28,Argentina,Malbec-Cabernet Franc,88.7,38.8
29,Argentina,Malbec-Cabernet Sauvignon,88.42857142857143,41.482142857142854
30,Argentina,Malbec-Merlot,86.28571428571429,21.0
31,Argentina,Malbec-Petit Verdot,91.0,39.5
32,Argentina,Malbec-Syrah,85.625,15.0
33,Argentina,Malbec-Tannat,84.66666666666667,36.666666666666664
34,Argentina,Malbec-Tempranillo,86.5,11.0
35,Argentina,Merlot,85.03389830508475,17.75862068965517
36,Argentina,Merlot-Cabernet Franc,87.0,27.0
37,Argentina,Moscatel,81.0,11.0
38,Argentina,Moscato,82.18181818181819,9.636363636363637
39,Argentina,Nebbiolo,88.75,64.0
40,Argentina,Petit Verdot,88.5,37.6
41,Argentina,Pinot Grigio,83.77777777777777,10.88888888888889
42,Argentina,Pinot Gris,84.88888888888889,12.571428571428571
43,Argentina,Pinot Noir,85.64761904761905,22.980582524271846
44,Argentina,Red Blend,88.3974358974359,34.14537444933921
45,Argentina,Riesling,86.0,15.0
46,Argentina,Rosado,86.66666666666667,12.0
47,Argentina,Rosé,84.13157894736842,13.432432432432432
48,Argentina,Sangiovese,81.5,18.0
49,Argentina,Sauvignon Blanc,84.34615384615384,14.833333333333334
50,Argentina,Shiraz,84.375,8.625
51,Argentina,Shiraz-Malbec,90.0,16.0
52,Argentina,Sparkling Blend,84.62068965517241,17.517241379310345
53,Argentina,Syrah,85.78947368421052,17.375
54,Argentina,Syrah-Bonarda,87.0,13.0
55,Argentina,Syrah-Malbec,89.0,14.0
56,Argentina,Syrah-Viognier,90.66666666666667,58.333333333333336
57,Argentina,Sémillon,83.58333333333333,17.916666666666668
58,Argentina,Tannat,86.5,22.0
59,Argentina,Tempranillo,83.55,13.5
61,Argentina,Tocai,85.0,14.0
62,Argentina,Torrontés,85.48571428571428,13.53305785123967
63,Argentina,Trebbiano,83.0,9.0
64,Argentina,Trousseau,88.0,60.0
65,Argentina,Viognier,84.42857142857143,13.380952380952381
66,Argentina,White Blend,84.875,20.741935483870968
67,Australia,Bordeaux-style Red Blend,89.13793103448276,67.41379310344827
68,Australia,Cabernet Blend,88.66666666666667,37.333333333333336
69,Australia,Cabernet Merlot,86.8,23.4
70,Australia,Cabernet Sauvignon,89.25187969924812,35.44106463878327
71,Australia,Cabernet Sauvignon-Merlot,88.54545454545455,32.54545454545455
72,Australia,Cabernet Sauvignon-Merlot-Shiraz,91.0,20.0
73,Australia,Cabernet Sauvignon-Sangiovese,88.0,30.0
74,Australia,Cabernet Sauvignon-Shiraz,89.9090909090909,43.45454545454545
75,Australia,Cabernet-Shiraz,96.0,150.0
76,Australia,Champagne Blend,86.125,23.5
77,Australia,Chardonnay,87.3175,25.445569620253163
78,Australia,Chardonnay-Semillon,89.66666666666667,18.333333333333332
79,Australia,Chenin Blanc,87.0,16.0
80,Australia,Durif,86.0,32.5
81,Australia,G-S-M,89.38461538461539,28.76
82,Australia,Grenache,89.55263157894737,45.19736842105263
83,Australia,Grenache-Shiraz,88.0,25.5
84,Australia,Malbec,86.8,65.6
85,Australia,Marsanne,89.4,25.4
86,Australia,Marsanne-Roussanne,88.0,42.5
87,Australia,Mataro,90.5,62.166666666666664
88,Australia,Merlot,85.73684210526316,20.68421052631579
89,Australia,Montepulciano,91.0,25.0
90,Australia,Moscato,85.53846153846153,12.076923076923077
91,Australia,Mourvèdre,91.0,50.285714285714285
92,Australia,Mourvèdre-Syrah,92.0,18.0
93,Australia,Muscadelle,94.0,160.33333333333334
94,Australia,Muscat,92.07692307692308,90.07692307692308
95,Australia,Muscat Hamburg,90.0,22.0
96,Australia,Petit Verdot,88.0,20.0
97,Australia,Petite Sirah,87.33333333333333,20.833333333333332
98,Australia,Pinot Grigio,86.0,13.5
99,Australia,Pinot Gris,87.42857142857143,18.357142857142858
100,Australia,Pinot Noir,87.43939393939394,32.28346456692913
101,Australia,Port,88.0,13.0
102,Australia,Red Blend,87.83333333333333,29.318181818181817
103,Australia,Rhône-style Red Blend,88.16666666666667,24.916666666666668
104,Australia,Rhône-style White Blend,87.8,22.0
105,Australia,Riesling,88.9205298013245,22.244897959183675
106,Australia,Rosé,87.3,19.0
107,Australia,Roussanne,88.5,45.333333333333336
108,Australia,Sangiovese,87.83333333333333,15.8
109,Australia,Sauvignon,88.0,30.0
110,Australia,Sauvignon Blanc,86.98076923076923,17.291666666666668
111,Australia,Sauvignon Blanc-Semillon,87.68181818181819,21.727272727272727
112,Australia,Savagnin,87.5,15.0
113,Australia,Semillon-Chardonnay,85.0,8.0
114,Australia,Semillon-Sauvignon Blanc,85.63636363636364,20.363636363636363
115,Australia,Shiraz,89.64193548387097,47.29011345218801
116,Australia,Shiraz-Cabernet,86.66666666666667,56.333333333333336
