location,Points,Price,Value,Sentiment,Variety
"Avignonesi winery ,Vin Santo di Montepulciano, Tuscany, Italy",2.408755789577123,0.7373073567091913,-0.6569473707187812,-0.7027547340570531,-0.21688990472457687
"Araujo winery ,Napa Valley, California, US",2.20455886055136,1.2321800738974928,-1.1422072231004605,1.0078102360616186,-0.5408963354454864
"Marchesi Antinori winery ,Bolgheri Superiore, Tuscany, Italy",2.20455886055136,-0.002622523317547856,0.04106778008295696,0.13803875014142616,-0.5408963354454864
"Bouchard Père & Fils winery ,Montrachet, Burgundy, France",2.20455886055136,4.672497136658473,-4.438961856247323,-0.020513343646108868,-0.5408963354454864
"Louis Jadot winery ,Charmes-Chambertin, Burgundy, France",2.20455886055136,0.22578026923089897,-0.17780389680646122,-1.7128142630518397,-0.5408963354454864
"Château d'Yquem winery ,Sauternes, Bordeaux, France",2.20455886055136,4.979413389145448,-4.789480898069905,1.154228241038883,-0.5408963354454864
"Alpha Omega winery ,St. Helena, California, US",2.20455886055136,1.053740392219019,-0.9712137255306024,-0.8074494499548539,-0.5408963354454864
"Domaine Leflaive winery ,Bâtard-Montrachet, Burgundy, France",2.1024603960384805,2.6977646594166935,-2.5544445909912894,0.3084121428943449,-0.5408963354454864
"Louis Jadot winery ,Clos de la Roche, Burgundy, France",2.0514111637820385,0.7825120760677381,-0.721386937122352,-1.040100379410441,-0.5408963354454864
"Tenuta dell'Ornellaia winery ,Bolgheri Superiore, Tuscany, Italy",2.000361931525597,0.6730690713049406,-0.616181865627825,0.7948674636909594,-0.5408963354454864
"Tenuta dell'Ornellaia winery ,Toscana, Tuscany, Italy",1.9595225457204468,2.2528550530983646,-2.150480158375207,0.48654200474334547,-0.5408963354454864
"Ovid winery ,Napa Valley, California, US",1.8982634670127174,0.6611730925263758,-0.6087780234650064,1.0065159332551892,-0.5408963354454864
"Macauley winery ,Oakville, California, US",1.8982634670127174,0.5184213471835964,-0.4705729697590594,0.23575861202680476,-0.5408963354454864
"Redmon winery ,St. Helena, California, US",1.8982634670127174,-0.2667132522016895,0.28955482562364965,0.17637002556258866,-0.5408963354454864
"Continuum winery ,Napa Valley, California, US",1.8982634670127174,0.26860579283373276,-0.22871412577365194,0.06535717604641376,-0.5408963354454864
"Semper winery ,Russian River Valley, California, US",1.8982634670127174,-0.12396150685891023,0.15134977191770252,-1.228745013447447,-0.5408963354454864
"Domaine Leflaive winery ,Bienvenues Bâtard-Montrachet, Burgundy, France",1.8982634670127174,2.195754354961253,-2.0944823508039376,-1.450847375030639,-0.5408963354454864
"Gandona winery ,Napa Valley, California, US",1.8982634670127174,0.6254851561906809,-0.5742267600385196,-0.7036463648792597,-0.5408963354454864
"Olivier Leflaive winery ,Montrachet, Burgundy, France",1.8982634670127174,5.593245894119399,-5.383762629005479,-0.24399629488949148,-0.5408963354454864
"Standish winery ,Barossa Valley, South Australia, Australia",1.8982634670127174,0.13775002626951846,-0.10209226561013048,-0.45921727988517014,-0.5408963354454864
"Donelan winery ,Sonoma Valley, California, US",1.8982634670127174,-0.08827357052321542,0.11679850849121573,-0.022952606627455296,-0.5408963354454864
"Domaine Leflaive winery ,Chevalier-Montrachet, Burgundy, France",1.8982634670127174,3.2806676195663753,-3.144840758969136,-0.742540164212447,-0.5408963354454864
"Louis Jadot winery ,Chevalier-Montrachet, Burgundy, France",1.8982634670127174,2.6668351145924247,-2.5505590280335633,0.4591696575587189,-0.5408963354454864
"Black Coyote winery ,Atlas Peak, California, US",1.8982634670127174,-0.12396150685891023,0.15134977191770252,-0.13635344482149125,-0.5408963354454864
"J.L. Chave winery ,Hermitage, Rhône Valley, France",1.8982634670127174,0.1615419838266483,-0.1250603354941917,0.5950570710914558,-0.5408963354454864
"Salon winery ,Champagne, Champagne, France",1.837004388304988,1.9859092893073675,-1.8734040575136968,0.27233237357946843,-0.5408963354454864
"Château Pétrus winery ,Pomerol, Bordeaux, France",1.796165002499838,15.328914926496946,-14.899324540257547,0.8278901616827624,-0.5408963354454864
"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",1.7834026944357264,0.8717319169069752,-0.819032134623824,0.20697662250895033,-0.5408963354454864
"Spottswoode winery ,St. Helena, California, US",1.7451157702433961,0.5184213471835964,-0.476052555199361,0.22022697834965882,-0.5408963354454864
"Louis Jadot winery ,Chambertin Clos de Bèze, Burgundy, France",1.7451157702433961,2.6311471782567297,-2.5330674509239044,-0.003148114326521839,-0.5408963354454864
"Louis Jadot winery ,Corton-Pougets, Burgundy, France",1.7451157702433961,0.022359032117438515,0.00551464753840635,0.2341407335187688,-0.5408963354454864
"Cardinale winery ,Napa Valley, California, US",1.6685419218587354,1.053740392219019,-1.009860117566735,0.13756686890991562,-0.21688990472457687
"Domaine Rossignol-Trapet winery ,Chambertin, Burgundy, France",1.5919680734740749,0.9823645195476293,-0.9370150260166308,0.8605832918303358,-0.5408963354454864
"Domaine des Lambrays winery ,Clos de Lambrays, Burgundy, France",1.5919680734740749,0.803924837869155,-0.7624591639140675,0.4220650264105302,-0.5408963354454864
"Albert Bichot winery ,Chambertin, Burgundy, France",1.5919680734740749,3.0522648270179285,-2.9618630264063657,-1.4964068338169345,-0.5408963354454864
"Domaine Perrot-Minot winery ,Chambertin Clos de Bèze, Burgundy, France",1.5919680734740749,3.016576890682234,-2.9269518539858534,-0.5208332840423303,-0.5408963354454864
"Conn Creek winery ,Atlas Peak, California, US",1.5919680734740749,-0.4094649975444688,0.42452069838336354,0.15547948045805507,-0.5408963354454864
"Macauley winery ,Alexander Valley, California, US",1.5919680734740749,-0.4094649975444688,0.42452069838336354,1.217703007837498,-0.5408963354454864
"Barons de Rothschild winery ,Champagne, Champagne, France",1.5919680734740749,2.0530026096184737,-1.9843501986320111,0.03125876861104549,-0.5408963354454864
"Laird winery ,Yountville, California, US",1.5919680734740749,0.018790238483869036,0.005586629337211456,-0.01145322400110681,-0.5408963354454864
"Lewis winery ,Napa Valley, California, US",1.5919680734740749,-0.30240118853738435,0.3197871811218255,-0.7181425563112628,-0.5408963354454864
"Hors Categorie winery ,Walla Walla Valley (OR), Oregon, US",1.5919680734740749,0.9823645195476293,-0.9370150260166308,0.3684246496857627,-0.5408963354454864
"Louis Jadot winery ,Bâtard-Montrachet, Burgundy, France",1.5919680734740749,1.899544483374986,-1.808084401553749,0.37888693070439616,-0.5408963354454864
